"Spring 2007
Business                  ACCT
Admin                     AGBU BUAD BUAG EMBA FINC INFO MGMT MISY MKTG MLER
Subtotal
Education                CPSY EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPMT SPSY TECR
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
7
1
8
1
2
1
4","1st Time PB
1
1","1st Time Transfer
8
47
28
14
9
17
123","Readmitted
1
2
1
2
3
3
12
2
5
6
3
1
2
5
1
25","Continuing
632
10
1,606
11
563
137
341
560
3,860
164
631
655
274
166
1,024
371
257
203
16
3,761",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,26,1,112,6,3,17,,788,
,,,,,,,,,,,,,,10,
,,,,,,,,,84,,,,,"1,699",
,,,,,,,,,,,,,,12,
,,,,,,,,,88,,,,,88,
,,,,,,,24,,106,,,13,,707,
,,,,,,,,,1,,,6,,146,
,,,,,,,,,29,,,20,,393,
,,,,,,,5,,137,,,,,142,
,,,,,,,7,,34,,,13,,617,
,,,,,,,13,,45,,,,,59,
,,,,,,1,75,,636,,,69,,"4,661",
,,,,,,,,,5,,,32,,37,
,,,,,,7,3,,63,,,201,,284,
,,,,,,8,30,,172,10,1,169,,390,
,,,,,,,,,,,,,,174,
,,,,,,,,,,,,,,685,
,,,,,,,,,,,,,,691,
,,,,,,,,,,,,,,292,
,,,,,,,3,,13,,,,,16,
,,,,,,4,11,,57,2,1,92,,167,
,,,,,,2,3,1,61,,,82,,149,
,,,,,,,2,,11,,,16,,29,
,,,,,,,,,,,,,,167,
,,,,,,,,,,,,,,"1,035",
,,,,,,,,,,,,,,393,
,,,,,,,9,,61,1,,31,,360,
,,,,,,,1,1,1,,,3,,6,
,,,,,,,,,,,,,,203,
,,,,,,,,,4,,,43,,47,
,,,,,,,,,,,,,,16,
,,,,,,21,62,3,448,19,5,669,,"5,141",
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,
