"Spring 2007
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
193
51
205
208
66
723
233
467
977
564
804
27
112
725
127
926
76
1,065
405
6,508
1,557
491
347
249
92
2,736
2,136
38
5
2
63
19
2,263
3,169
3,169
5
280
1
57
14
357
42,374",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,54,92,1,2,5,9,,3,,,9,16,,2,69,124,,
,24,21,,,2,2,1,1,,,,,,,27,24,,
,57,99,1,1,4,7,2,6,1,2,8,15,,2,73,132,,
,49,102,,,6,6,,2,1,1,12,28,,1,68,140,,
,21,16,,,1,3,,1,,,10,14,,,32,34,,
,205,330,2,3,18,27,3,13,2,3,39,73,,5,269,454,,
,110,68,1,1,15,8,6,2,1,,7,10,1,3,141,92,,
,236,109,5,5,54,31,10,5,4,,2,4,1,1,312,155,,
,644,201,15,2,57,26,6,4,5,1,6,4,6,,739,238,,
,81,286,3,6,17,43,7,22,2,,26,68,,3,136,428,,
,520,128,31,7,46,16,15,7,4,,18,11,1,,635,169,,
,13,7,,1,,1,2,,2,,,,,1,17,10,,
,47,12,,,22,26,1,,,,2,2,,,72,40,,
,239,386,9,6,15,51,2,6,2,,2,1,,6,269,456,,
,22,81,1,,3,10,1,4,1,,,2,1,1,29,98,,
,294,415,24,13,53,81,12,13,,1,7,9,1,3,391,535,,
,34,21,4,3,6,7,1,,,,,,,,45,31,,
,602,204,38,9,122,35,26,10,7,,5,4,3,,803,262,,
,199,80,22,9,49,18,10,3,1,1,7,4,,2,288,117,,
,"3,041","1,998",153,62,459,353,99,76,29,3,82,119,14,20,"3,877","2,631",,
,649,407,41,16,122,87,92,88,5,3,29,16,,2,938,619,,
,125,159,12,5,29,24,15,15,1,2,35,66,1,2,218,273,,
,125,125,6,,12,17,5,4,,2,10,38,3,,161,186,,
,14,105,,2,2,20,2,14,2,1,11,75,,1,31,218,,
,11,20,1,,,1,4,1,,,23,30,,1,39,53,,
,924,816,60,23,165,149,118,122,8,8,108,225,4,6,"1,387","1,349",,
,"1,111",498,28,16,196,95,115,54,6,6,3,,6,2,"1,465",671,,
,21,4,,,,,2,1,1,,3,6,,,27,11,,
,4,,,,,1,,,,,,,,,4,1,,
,1,,,,,,,,,,1,,,,2,,,
,21,11,2,1,4,3,1,,1,,7,11,,1,36,27,,
,5,2,1,,,,,1,,,5,5,,,11,8,,
,"1,163",515,31,17,200,99,118,56,8,6,19,22,6,3,"1,545",718,,
,"1,024","1,362",74,67,240,213,51,88,10,14,11,9,3,3,"1,413","1,756",,
,"1,024","1,362",74,67,240,213,51,88,10,14,11,9,3,3,"1,413","1,756",,
,1,,,,,,,,,,3,1,,,4,1,,
,60,58,4,2,7,5,6,2,,,69,65,1,1,147,133,,
,1,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,26,31,,,26,31,,
,6,4,1,,,,,,,,,2,1,,8,6,,
,68,62,5,2,7,5,6,2,,,98,99,2,1,186,171,,
,"15,083","16,000",714,552,"2,292","2,348",728,881,108,108,"1,032","2,351",70,107,"20,027","22,347",,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,,,,
