Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,107,-1.8%,6,100.0%,57,5.6%,,,107,-1.8%,
,AGBU,92,21.1%,,,,,,,98,28.9%,
,AGCJ,74,-15.9%,,,,,,,74,-15.9%,
,AGEC,328,5.5%,43,7.5%,,,,,428,5.7%,
,AGED,,,47,2.2%,54,45.9%,,,101,21.7%,
,AGEN,93,-17.7%,0,-100.0%,,,,,93,-18.4%,
,AGLS,340,9.7%,,,,,,,340,9.7%,
,AGRO,98,-10.9%,19,46.2%,12,0.0%,,,129,-4.4%,
,AGSC,95,-18.1%,,,,,,,95,-18.1%,
,AGSM,138,-16.9%,2,-50.0%,,,,,140,-17.6%,
,ALED,720,2.0%,19,18.8%,,,,,739,2.4%,
,ANBR,,,2,0.0%,1,0.0%,,,3,0.0%,
,ANSC,729,5.8%,57,-9.5%,13,-27.8%,,,799,3.8%,
,BAEN,24,100.0%,21,16.7%,22,15.8%,,,67,81.1%,
,BESC,173,-3.4%,,,,,,,173,-3.4%,
,BICH,171,-6.0%,39,14.7%,74,5.7%,,,284,-0.7%,
,BSEN,11,0.0%,,,,,,,11,0.0%,
,DASC,5,-28.6%,1,100.0%,,,,,6,-14.3%,
,ECEN,,,1,100.0%,,,,,1,100.0%,
,ENST,12,33.3%,,,,,,,12,33.3%,
,ENTO,102,0.0%,20,-13.0%,33,13.8%,,,155,0.6%,
,FISC,,,2,100.0%,,,,,2,100.0%,
,FLOR,3,-66.7%,3,0.0%,,,,,6,-50.0%,
,FORS,24,-33.3%,8,-20.0%,10,66.7%,,,42,-19.2%,
,FSTC,66,20.0%,1,-50.0%,,,,,67,17.5%,
,GENE,130,-10.3%,0,-100.0%,5,400.0%,,,135,-12.9%,
,HORT,136,0.7%,12,20.0%,16,14.3%,,,164,3.1%,
,NRDV,,,9,28.6%,,,,,9,28.6%,
,NUSC,502,13.6%,,,,,,,502,13.6%,
,NUTR,,,,,1,100.0%,,,1,100.0%,
,PLBR,,,12,-7.7%,9,-40.0%,,,21,-25.0%,
,PLPA,,,8,14.3%,14,-12.5%,,,22,-4.3%,
,PLSC,,,0,-100.0%,,,,,0,-100.0%,
,POSC,135,-6.3%,11,-21.4%,12,-20.0%,,,158,-8.7%,
,PPRO,,,2,100.0%,,,,,2,100.0%,
,PREP,,,10,0.0%,15,25.0%,,,25,13.6%,
,PSSC,1,0.0%,,,,,,,1,0.0%,
,RENR,23,-14.8%,,,,,,,23,-14.8%,
,RLEM,121,-6.9%,30,3.4%,19,26.7%,,,170,-2.3%,
,RPTS,293,-0.3%,29,16.0%,48,33.3%,,,370,4.2%,
,SOSC,,,13,8.3%,5,-28.6%,,,18,-5.3%,
,SPSA,33,175.0%,,,,,,,33,175.0%,
,WFSC,363,-2.9%,75,-16.7%,62,1.6%,,,500,-4.8%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
