Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              AGBU
Special              BIOT
Populations       ENSM
FSTC GENE MARM MDSC MEPS MSEN NUTR PHLT PPHY REEP TOXI WMHS",,50,16.3%,"18
20
14
13
13
1
5
8
4
16
14
7
3
13","-45.5%
0.0%
133.3%
-27.8%
85.7%
-66.7%
-28.6%
-20.0%
-42.9%
-5.9%
-12.5%
40.0%
-40.0%
44.4%","22
40
25
25
13
0
24
9","-8.3%
-16.7%
8.7%
56.3%
8.3%
-100.0%
-4.0%
125.0%",,,"18
20
14
35
53
1
5
33
29
29
14
0
57
27
22","-45.5%
0.0%
133.3%
-16.7%
-3.6%
-66.7%
-28.6%
0.0%
26.1%
0.0%
-12.5%
-100.0%
18.8%
-10.0%
69.2%",
,Subtotal,50,16.3%,149,-8.6%,158,3.3%,,,357,-0.6%,
Total,,"33,995",1.5%,"4,409",4.2%,"3,465",3.2%,505,-0.8%,"42,374",1.9%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
