Texas A&M University,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,
Demographic Summary by Entry Status,,,,,,,,,,,
Spring 2007,,,,,,,,,,,
Enrollment Profile – Spring 2007 Official Certified 12th Class Day Data,,,,,,,,,,,
"Spring 2007
Head Count      Total
Gender             Female Male
Ethnicity          White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories        18-21
22-25
26-30
31-39
40+
College            Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student             Lower
Level                Upper Masters PhD Professional
Tuition             Resident Tuition
Status               Non-Resident Tuition Tuition  Exemption/Waiver
Residency        Texas Resident
Status               Non-TX, US Resident
Non-TX, Non-US Resident
SCH                 < 6 SCH
Categories        6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                Less Than Half Time
TAMU             Half-Time
Status               Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,,Professional,
,"1st Time in College
87
40
47
47
6
11
2
21
1
84
2
8
1
8
4
26
2
14
6
6
12
87
60
25
2
64
2
21
6
3
2
52
23
1
6
3
2
76","1st Time PB
12
6
6
10
2
9
1
2
5
1
4
1
1
12
12
12
3
3
1
4
1
2
4
1
5","1st Time Transfer
743
330
413
598
14
79
17
2
29
4
492
184
47
13
7
209
32
123
128
14
179
25
5
28
511
232
685
44
14
695
19
29
5
22
54
433
224
5
5
22
52
664","Readmitted
213
75
138
171
3
29
6
1
2
1
58
122
22
9
2
61
10
12
25
25
5
28
7
40
75
138
204
7
2
205
6
2
9
11
16
109
66
2
9
11
15
178","Continuing
32,940
15,950
16,990
26,004
951
3,939
1,339
181
433
93
3
19,107
12,896
647
186
101
4,859
1,308
3,860
3,761
6,408
437
5,539
2,012
1,617
3,089
50
13,224
19,716
30,991
782
1,167
31,372
1,122
446
794
1,265
1,843
15,082
12,830
1,126
649
877
1,713
29,701",1st Time PB,1st Time Graduate,Readmitted,Continuing,Continuing,
,,,,,,94,426,20,"7,334",505,
,,,,,,47,180,9,"3,017",373,
,,,,,,47,246,11,"4,317",132,
,,,,,,63,227,12,"3,505",446,
,,,,,,5,8,1,276,2,
,,,,,,8,25,3,510,34,
,,,,,,3,14,1,211,16,
,,,,,,1,2,,28,1,
,,,,,,13,147,3,"2,735",,
,,,,,,1,3,,69,6,
,,,,,,2,2,,8,1,
,,,,,,38,235,,"2,129",235,
,,,,,,15,93,6,"2,525",212,
,,,,,,24,77,8,"1,865",47,
,,,,,,15,19,6,807,10,
,,,,,,6,67,,926,,
,,,,,,2,17,3,405,,
,,,,,,1,75,,705,,
,,,,,,21,81,8,"1,117",,
,,,,,,17,134,6,"1,937",,
,,,,,,22,1,,189,,
,,,,,,3,10,,251,,
,,,,,,5,10,2,731,,
,,,,,,3,13,1,668,,
,,,,,,1,5,,124,505,
,,,,,,13,13,,281,,
,,,,,,94,356,10,"3,949",,
,,,,,,,70,10,"3,385",,
,,,,,,,,,,505,
,,,,,,75,253,15,"3,372",465,
,,,,,,14,53,5,675,7,
,,,,,,5,120,,"3,287",33,
,,,,,,76,260,16,"3,471",469,
,,,,,,5,17,1,"1,116",36,
,,,,,,13,149,3,"2,747",,
,,,,,,44,25,11,"1,285",,
,,,,,,29,52,6,536,,
,,,,,,16,297,3,"4,615",,
,,,,,,5,49,,703,,
,,,,,,,3,,119,,
,,,,,,,,,76,505,
,,,,,,30,16,10,971,,
,,,,,,28,38,4,623,,
,,,,,,36,372,6,"5,740",505,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,
