"Fall 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             SABX
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
3
1
5
1
1
2
4
4
18
18
51","Sophomore
2
1
2
1
1
4
1
12
3
1
4
1
1
21
21
58","Junior
1
1
1
2
2
1
2
8
1
1
2
2
51","Senior
1
1
2
1
4
1
2
1
2
3
3
1
18
3
3
3
3
74",PB,"Total
2
1
1
4
5
7
1
6
1
3
8
9
3
43
6
1
1
2
10
8
8
41
41
234",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,2,2,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,9,
,,,,,,,,,,2,2,,,5,
,,,,,,,,1,1,3,3,,,47,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,2,2,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,4,
,,,,,,,,1,1,4,4,,,15,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,2,2,10,
,,,,,,,,,,,,,,41,
,,,,,,,,,,,,,,41,
,,,,,,,,17,18,17,17,2,2,271,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
