Fall 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,136,-6.8%,0,-100.0%,16,-5.9%,3,200.0%,1,100.0%,2,0.0%,3,200.0%,161,-4.2%,
,AGBU,136,16.2%,1,100.0%,18,80.0%,2,0.0%,,,23,15.0%,1,100.0%,181,21.5%,
,AGCJ,124,2.5%,3,0.0%,9,-18.2%,1,100.0%,1,100.0%,,,,,138,2.2%,
,AGEC,365,1.4%,7,40.0%,31,14.8%,4,-20.0%,2,-50.0%,93,38.8%,1,100.0%,503,7.5%,
,AGED,76,-7.3%,11,22.2%,8,100.0%,1,0.0%,,,5,0.0%,2,100.0%,103,1.0%,
,AGEN,0,-100.0%,,,0,-100.0%,0,-100.0%,,,0,-100.0%,,,0,-100.0%,
,AGLS,72,-60.9%,12,-47.8%,24,-40.0%,5,-44.4%,0,-100.0%,2,-33.3%,2,0.0%,117,-55.5%,
,AGRO,118,13.5%,5,150.0%,14,55.6%,3,50.0%,2,-33.3%,5,-16.7%,1,0.0%,148,16.5%,
,AGSC,109,26.7%,2,100.0%,8,60.0%,,,,,,,2,100.0%,121,33.0%,
,AGSM,114,-13.6%,2,0.0%,6,-40.0%,5,66.7%,,,2,100.0%,1,0.0%,130,-12.8%,
,ALEC,8,100.0%,,,1,100.0%,,,,,1,100.0%,,,10,100.0%,
,ALED,465,-16.8%,37,-36.2%,54,-3.6%,4,0.0%,5,25.0%,4,0.0%,3,50.0%,572,-16.7%,
,ANBR,7,75.0%,,,,,,,,,,,,,7,75.0%,
,ANSC,669,-3.2%,12,9.1%,94,-9.6%,8,14.3%,7,0.0%,7,-36.4%,1,-66.7%,798,-4.3%,
,BAEN,130,42.9%,8,166.7%,25,38.9%,11,57.1%,1,0.0%,44,25.7%,,,219,41.3%,
,BESC,107,0.9%,12,-14.3%,44,29.4%,15,0.0%,3,200.0%,2,100.0%,,,183,7.0%,
,BICH,164,3.8%,10,-28.6%,28,-15.2%,41,20.6%,4,300.0%,47,0.0%,3,50.0%,297,2.8%,
,BIOT,3,-40.0%,,,0,-100.0%,3,100.0%,,,24,-27.3%,,,30,-23.1%,
,BSEN,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,CDEV,10,150.0%,1,0.0%,,,1,100.0%,,,,,1,100.0%,13,160.0%,
,DASC,4,0.0%,,,1,-50.0%,,,,,0,-100.0%,,,5,-28.6%,
,ECOR,12,50.0%,,,2,100.0%,,,,,,,,,14,75.0%,
,ENST,13,62.5%,0,-100.0%,2,100.0%,,,,,,,,,15,50.0%,
,ENTO,71,-16.5%,5,0.0%,20,-33.3%,1,-75.0%,1,0.0%,10,11.1%,1,0.0%,109,-19.3%,
,FISC,3,50.0%,0,-100.0%,,,,,,,,,,,3,0.0%,
,FIVL,40,90.5%,5,25.0%,34,209.1%,2,100.0%,1,100.0%,,,,,82,121.6%,
,FIVS,4,100.0%,,,,,,,,,,,,,4,100.0%,
,FLOR,5,66.7%,1,0.0%,,,,,,,,,,,6,50.0%,
,FORS,28,16.7%,1,0.0%,5,400.0%,,,,,6,100.0%,,,40,37.9%,
,FSTC,91,11.0%,6,-14.3%,18,-35.7%,5,66.7%,1,100.0%,19,-17.4%,,,140,-2.1%,
,GENE,97,0.0%,2,-60.0%,18,-10.0%,7,-46.2%,0,-100.0%,16,-5.9%,2,0.0%,142,-8.4%,
,HORT,138,-4.8%,0,-100.0%,23,9.5%,2,0.0%,2,100.0%,17,-10.5%,1,100.0%,183,-3.2%,
,MEPS,7,-30.0%,1,100.0%,2,0.0%,,,,,11,-8.3%,,,21,-12.5%,
,NRDV,15,87.5%,,,1,0.0%,,,,,1,0.0%,2,100.0%,19,90.0%,
,NUSC,347,-16.2%,8,-33.3%,86,-11.3%,23,-14.8%,2,-33.3%,6,0.0%,3,100.0%,475,-15.0%,
,NUTR,27,22.7%,2,100.0%,2,0.0%,,,,,15,0.0%,1,100.0%,47,17.5%,
,PLBR,17,13.3%,2,0.0%,2,0.0%,1,100.0%,,,12,0.0%,,,34,9.7%,
,PLPA,8,0.0%,1,100.0%,6,20.0%,,,,,13,0.0%,2,0.0%,30,7.1%,
,POSC,136,9.7%,4,0.0%,23,15.0%,0,-100.0%,2,-50.0%,11,-8.3%,1,0.0%,177,6.0%,
,PPRO,2,100.0%,,,,,,,,,,,,,2,100.0%,
,PREP,16,-20.0%,1,-50.0%,2,100.0%,1,0.0%,,,4,0.0%,1,100.0%,25,-7.4%,
,PSSC,6,200.0%,,,1,0.0%,1,100.0%,,,0,-100.0%,,,8,100.0%,
,RENR,33,3.1%,,,6,100.0%,0,-100.0%,,,,,,,39,8.3%,
,RLEM,102,-21.5%,4,33.3%,19,5.6%,,,1,100.0%,2,-50.0%,1,0.0%,129,-17.3%,
,RPTS,227,-15.9%,7,-30.0%,24,-17.2%,8,100.0%,1,-66.7%,27,-6.9%,4,33.3%,298,-14.4%,
,RRDV,1,100.0%,,,,,,,,,,,,,1,100.0%,
,SOSC,14,27.3%,,,2,0.0%,1,0.0%,,,9,0.0%,1,100.0%,27,17.4%,
,SPSA,44,7.3%,1,100.0%,6,50.0%,,,,,,,,,51,13.3%,
,TOXI,,,,,1,0.0%,,,,,1,100.0%,,,2,100.0%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,
