"Fall 2009
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
845
1,053
857
352
432
159
196
278
194
642
222
201
315
231
493
6,470
582
53
686
397
202
1,920
795
2,218
834
404
407
541
5,199
5
791
575
2,218
1,807
5,396
792
500
1,029
14
873
1,558
1,276
925
853
1,611
402
902
10,735
302
302",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,200,437,4,4,30,35,2,7,,3,44,74,3,2,283,562,,
,409,457,19,43,40,55,3,3,2,4,7,4,3,4,483,570,,
,480,228,11,2,68,31,7,2,7,,10,9,1,1,584,273,,
,33,212,2,8,11,21,8,8,1,,13,34,,1,68,284,,
,128,126,6,6,22,25,26,21,1,3,28,35,3,2,214,218,,
,46,59,4,9,15,11,3,3,,,5,2,1,1,74,85,,
,69,47,6,4,33,21,3,,2,,4,6,1,,118,78,,
,54,167,2,4,12,26,,,,1,6,4,,2,74,204,,
,90,54,,1,12,11,,2,2,,13,8,,1,117,77,,
,389,63,12,4,79,24,24,5,2,1,26,9,4,,536,106,,
,62,60,9,4,27,24,6,9,2,1,9,7,,2,115,107,,
,61,81,2,2,13,10,2,1,1,1,14,12,,1,93,108,,
,131,110,5,3,13,11,4,5,1,,20,7,4,1,178,137,,
,29,130,2,6,7,15,1,4,1,1,11,22,1,1,52,179,,
,175,196,6,4,43,35,5,1,3,1,14,6,2,2,248,245,,
,"2,356","2,427",90,104,425,355,94,71,25,16,224,239,23,21,"3,237","3,233",,
,188,178,4,6,42,56,8,11,3,,41,40,3,2,289,293,,
,10,27,2,1,5,7,,1,,,,,,,17,36,,
,55,445,1,6,14,63,4,10,1,6,25,54,,2,100,586,,
,84,139,3,10,21,31,5,2,,2,45,52,1,2,159,238,,
,56,91,,2,10,18,3,6,,,5,10,,1,74,128,,
,393,880,10,25,92,175,20,30,4,8,116,156,4,7,639,"1,281",,
,329,294,18,5,31,29,25,32,5,1,14,5,1,6,423,372,,
,858,835,45,34,136,114,45,54,2,5,20,46,3,21,"1,109","1,109",,
,251,424,5,3,29,42,22,26,2,6,6,12,2,4,317,517,,
,81,148,9,3,19,26,9,16,,,26,64,2,1,146,258,,
,160,144,8,9,38,18,8,2,1,2,7,7,1,2,223,184,,
,334,106,7,1,42,14,12,4,4,,11,5,,1,410,131,,
,"2,013","1,951",92,55,295,243,121,134,14,14,84,139,9,35,"2,628","2,571",,
,3,2,,,,,,,,,,,,,3,2,,
,309,194,51,33,72,51,13,13,2,1,20,9,15,8,482,309,,
,312,34,25,7,116,16,15,1,2,1,32,10,3,1,505,70,,
,"1,150",611,48,33,171,103,27,21,10,1,11,26,2,4,"1,419",799,,
,"1,355",102,73,16,133,21,29,1,7,2,37,14,11,6,"1,645",162,,
,"3,129",943,197,89,492,191,84,36,21,5,100,59,31,19,"4,054","1,342",,
,77,493,3,14,17,89,4,30,,1,8,52,2,2,111,681,,
,135,180,4,6,34,29,18,46,,,15,30,2,1,208,292,,
,169,453,6,15,41,65,27,55,1,5,65,121,3,3,312,717,,
,2,7,1,1,,1,,,,,,1,,1,3,11,,
,52,401,9,27,12,80,8,38,2,6,41,193,1,3,125,748,,
,207,754,4,18,51,150,19,43,2,2,64,238,1,5,348,"1,210",,
,49,449,8,28,13,140,11,94,1,7,68,404,,4,150,"1,126",,
,110,594,12,18,28,109,4,32,,4,3,11,,,157,768,,
,79,308,9,20,39,99,7,23,,4,63,199,1,2,198,655,,
,141,885,7,18,20,115,8,46,1,7,70,283,,10,247,"1,364",,
,55,234,5,5,9,30,4,20,,1,4,32,1,2,78,324,,
,81,419,2,11,10,46,9,33,,2,61,222,1,5,164,738,,
,"1,157","5,177",70,181,274,953,119,460,7,39,462,"1,786",12,38,"2,101","8,634",,
,108,126,5,10,14,14,3,2,,,10,9,,1,140,162,,
,108,126,5,10,14,14,3,2,,,10,9,,1,140,162,,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,
