"Fall 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             SABX
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
3
1
1
1
3
4
1
1
1
7
3
3
38
38
11
11
98","Sophomore
1
6
7
2
2
1
1
6
1
4
1
6
1
1
17
17
5
5
133","Junior
3
3
1
2
7
1
1
4
2
18
2
1
2
5
2
2
19
19
167","Senior
3
4
7
3
1
3
1
1
1
10
4
1
2
2
9
7
7
224","PB
1
1
1
1
3","Total
1
3
17
21
7
4
13
3
1
1
6
2
37
10
4
9
5
28
4
4
57
57
42
42
625",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,18,19,16,16,,,19,
,,,,,,,1,18,19,,,,,19,
,,,,,,,,11,11,,,,,27,
,,,,,,,,1,1,,,,,2,
,,,,,,,,10,10,18,18,,,31,
,,,,,,,1,27,28,23,23,,,68,
,,,,,,,,12,12,16,16,,,28,
,,,,,,,1,61,62,73,73,,,156,
,,,,,,,1,5,6,5,5,,,11,
,,,,,,,,,,,,,,7,
,,,,,,,,3,3,7,7,,,14,
,,,,,,,,66,66,35,35,,,114,
,,,,,,,,3,3,25,25,,,31,
,,,,,,,,,,,,,,1,
,,,,,,,,4,4,2,2,,,6,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,3,4,8,8,,,12,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,3,3,,,12,
,,,,,,,,3,3,7,7,,,12,
,,,,,,,2,92,94,94,94,,,225,
,,,,,,,,16,16,24,24,,,50,
,,,,,,,,85,85,55,55,,,144,
,,,,,,,1,19,20,49,49,,,78,
,,,,,,,,31,31,48,48,,,84,
,,,,,,,3,36,39,37,37,,,76,
,,,,,,,4,187,191,213,213,,,432,
,,,,,,,,2,2,3,3,,,9,
,,,,,,,,14,14,6,6,,,20,
,,,,,,,,4,4,2,2,,,6,
,,,,,,,,6,6,7,7,,,13,
,,,,,,,,2,2,9,9,,,11,
,,,,,,,,28,28,27,27,,,59,
,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,57,
,,,,,,,5,,5,,,,,5,
,,,,,,,21,,21,,,,,63,
,,,,,,,3,,3,,,,,3,
,,,,,,,29,,29,,,,,71,
,,,,,,,48,"2,165","2,213","1,546","1,546",,,"4,384",
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
