Fall 2009,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Geosciences,ATMO,6,18,1,1,8,6,2,4,1,1,8,18,1,2,15,38,53,
,ENGS,31,36,,,,,,,,,,1,,,39,48,87,
,ENST,28,31,,,4,9,,,,,,1,,,35,42,77,
,GEOG,36,70,1,1,4,5,2,3,,,8,15,1,1,53,95,148,
,GEOL,64,131,2,1,8,13,,6,,,15,20,,,89,171,260,
,GEOP,7,24,2,,1,3,1,3,,1,11,17,,,22,48,70,
,GEOS,1,,,,,,,,,,,1,,,1,1,2,
,MARB,2,,,,,,,,,,,,,,2,,2,
,MARM,2,2,,,,1,,,,,1,,,,3,3,6,
,METR,50,66,1,4,9,14,,,,2,,,,,60,86,146,
,OCNG,26,17,,,1,1,,3,,,15,13,,,42,34,76,
,SPSG,2,7,,,1,1,,,,,,1,,,3,9,12,
,USGE,2,4,,,1,1,,,,,,,,,3,5,8,
,WMHS,4,14,1,,,,,2,,,5,6,,1,10,23,33,
,Subtotal,261,420,8,7,37,54,5,21,1,4,63,93,2,4,377,603,980,
Liberal Arts,AMST,4,3,1,,2,,,,,,,,,,7,3,10,
,ANTH,128,80,,1,17,3,4,4,,,4,7,,2,153,97,250,
,CLSS,9,4,,,1,2,,,,,,,,,10,6,16,
,COML,,1,,,,,,,,,,,,,,1,1,
,COMM,571,154,26,11,82,20,9,4,7,,8,5,4,,707,194,901,
,ECON,54,284,1,5,9,31,11,25,,1,44,70,1,1,120,417,537,
,ENGL,444,115,17,4,74,22,15,7,2,4,18,13,,,570,165,735,
,FREN,8,1,,,1,1,1,,,,,,1,,11,2,13,
,GERM,1,1,,,,,,,1,,,1,,,2,2,4,
,HISP,8,3,,,6,5,,,,,,6,,,14,14,28,
,HIST,207,428,3,13,23,67,4,5,1,2,1,2,,3,239,520,759,
,INTS,277,150,9,7,82,36,17,5,5,,4,3,2,2,396,203,599,
,MODL,2,1,,,4,2,,,,,,,,,6,3,9,
,MUSC,10,6,2,2,3,5,1,,,,,,,,16,13,29,
,NUTR,3,,,,,,,,,,,,,,3,,3,
,PHIL,21,63,1,1,3,10,3,,,1,,1,2,2,30,78,108,
,POLS,253,409,36,15,48,72,16,21,6,3,5,7,,4,364,531,895,
,PSYC,674,245,52,8,166,58,45,20,7,2,7,5,3,3,954,341,1295,
,RUSS,4,3,,,,1,,,,,,,,,4,4,8,
,SOCI,189,67,41,18,61,33,16,8,2,3,9,3,2,2,320,134,454,
,SPAN,47,12,1,,20,18,,,,,,,,,68,30,98,
,TCMS,43,50,5,,5,4,3,4,,,,1,,,56,59,115,
,THAR,30,13,1,,9,8,2,,,,,1,,,42,22,64,
,USLA,2,2,,1,,,,,,,,,,,2,3,5,
,WMST,1,,,,1,,,,,,,,,,2,,2,
,Subtotal,"2,990","2,095",196,86,617,398,147,103,31,16,100,125,15,19,"4,096","2,842",6938,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,
