"Fall 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             SABX
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
2
2
2
4
4
12","Sophomore
1
1
1
3
3
3
5
5
23","Junior
1
1
2
1
1
2
30","Senior
3
1
1
1
1
1
4
12
1
1
53",PB,"Total
4
3
1
1
1
2
5
17
6
1
7
3
3
9
9
118",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,3,3,6,6,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,1,1,5,5,,,6,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,,,1,1,,,4,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,3,
,,,,,,,,3,3,,,,,4,
,,,,,,,,,,2,2,,,4,
,,,,,,,,,,1,1,,,6,
,,,,,,,,3,3,1,1,,,4,
,,,,,,,,8,8,9,9,,,34,
,,,,,,,,,,,,,,6,
,,,,,,,,,,1,1,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,3,3,,,,,3,
,,,,,,,,5,5,2,2,,,14,
,,,,,,,,,,,,,,9,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,3,3,1,1,6,6,13,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,9,
,,,,,,,,,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,3,91,94,59,59,6,6,277,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
