"Fall 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             SABX
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
5
2
3
4
14
18
25
6
13
3
10
23
2
30
6
136
139
11
16
8
174
156
156
463
463
1,558","Sophomore
7
3
5
3
18
5
27
18
5
23
4
15
26
6
57
12
198
71
8
12
2
93
71
71
322
322
1,271","Junior
4
4
8
9
25
4
35
25
18
28
16
22
5
31
8
60
20
272
56
9
7
2
74
51
51
50
50
1,181","Senior
6
7
8
5
26
6
41
36
11
25
3
18
35
5
38
9
60
27
314
68
7
1
11
5
92
59
59
1,600","PB
1
1
7","Total
23
16
24
21
84
15
121
104
40
89
6
38
82
10
118
25
207
65
920
334
35
1
46
17
433
337
337
835
835
5,617",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,7,21,28,3,3,51,51,28,
,,,,,,,7,21,28,,,,,28,
,,,,,,,,,,,,,,23,
,,,,,,,,1,1,,,,,17,
,,,,,,,,,,,,,,24,
,,,,,,,,4,4,,,,,25,
,,,,,,,,2,2,,,,,2,
,,,,,,,,7,7,,,,,91,
,,,,,,,,2,2,,,,,20,
,,,,,,,,,,,,,,121,
,,,,,,,,4,4,3,3,,,111,
,,,,,,,,,,,,,,40,
,,,,,,,,2,2,5,5,,,96,
,,,,,,,,,,,,,,6,
,,,,,,,1,7,8,9,9,,,55,
,,,,,,,,3,3,5,5,,,90,
,,,,,,,,2,2,1,1,,,13,
,,,,,,,,1,1,1,1,,,120,
,,,,,,,,,,,,,,25,
,,,,,,,,7,7,10,10,,,224,
,,,,,,,,13,13,16,16,,,94,
,,,,,,,1,41,42,53,53,,,"1,015",
,,,,,,,,2,2,2,2,,,338,
,,,,,,,,14,14,6,6,,,55,
,,,,,,,,,,,,,,1,
,,,,,,,,5,5,,,,,51,
,,,,,,,,6,6,6,6,,,29,
,,,,,,,1,5,6,,,,,6,
,,,,,,,1,32,33,14,14,,,480,
,,,,,,,,4,4,,,,,392,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,5,5,3,3,51,51,396,
,,,,,,,,,,,,,,835,
,,,,,,,,,,,,,,835,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,,2,,,,,2,
,,,,,,,19,394,413,261,261,51,51,"6,342",
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
