"Fall 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
4
19
10
7
2
24
4
1
10
4
4
1
2
7
102
20
13
15
9
57
104
104
10
36
25
71
29
26
37
31
45
44
8
11
26
10
14
281","Sophomore
9
8
18
6
9
5
7
6
6
15
2
2
5
4
12
114
17
2
22
8
2
51
91
1
92
3
15
50
14
82
26
10
17
18
32
26
15
29
34
11
12
230","Junior
17
22
20
6
6
9
7
9
7
19
18
9
6
1
14
170
19
4
17
7
5
52
16
32
24
17
16
22
127
16
15
72
18
121
19
11
19
14
46
26
39
32
17
3
13
239","Senior
30
50
33
7
14
9
10
5
8
56
21
6
9
5
23
286
31
6
25
14
5
81
34
8
38
25
31
29
165
21
31
107
54
213
22
12
27
21
66
37
72
51
39
10
7
364","PB
1
1
2
2
1
5","Total
59
84
90
29
36
25
48
24
22
100
45
21
21
12
56
672
87
12
77
44
21
241
50
235
62
42
47
52
488
40
71
265
112
488
96
59
100
84
191
135
134
123
117
34
46
1,119",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,5,5,1,1,,,65,
,,,,,,,,7,7,4,4,,,95,
,,,,,,,,9,9,,,,,99,
,,,,,,,,3,3,,,,,32,
,,,,,,,,7,8,3,3,,,47,
,,,,,,,,1,1,,,,,26,
,,,,,,,,5,5,1,1,,,54,
,,,,,,,1,6,7,7,7,,,38,
,,,,,,,,,,1,1,,,23,
,,,,,,,,3,3,,,,,103,
,,,,,,,,4,4,2,2,,,51,
,,,,,,,,2,2,,,,,23,
,,,,,,,,2,2,1,1,,,24,
,,,,,,,,4,4,6,6,,,22,
,,,,,,,,11,11,11,11,,,78,
,,,,,,,2,69,71,37,37,,,780,
,,,,,,,,9,9,2,2,,,98,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,77,
,,,,,,,,5,5,3,3,,,52,
,,,,,,,,7,7,,,,,28,
,,,,,,,,21,21,5,5,,,267,
,,,,,,,,10,10,,,,,60,
,,,,,,,,15,15,,,,,250,
,,,,,,,,9,9,,,,,71,
,,,,,,,,3,3,,,,,45,
,,,,,,,,9,9,,,,,56,
,,,,,,,,4,4,,,,,56,
,,,,,,,,50,50,,,,,538,
,,,,,,,2,17,19,64,64,,,123,
,,,,,,,1,27,28,33,33,,,132,
,,,,,,,,8,8,1,1,,,274,
,,,,,,,2,20,22,20,20,,,154,
,,,,,,,5,72,77,118,118,,,683,
,,,,,,,,5,5,5,5,,,106,
,,,,,,,,3,3,1,1,,,63,
,,,,,,,,5,5,1,1,,,106,
,,,,,,,,,,1,1,,,1,
,,,,,,,,4,4,4,4,,,92,
,,,,,,,1,8,9,1,1,,,201,
,,,,,,,,11,11,7,7,,,153,
,,,,,,,,3,3,,,,,137,
,,,,,,,,13,13,2,2,,,138,
,,,,,,,,13,13,5,5,,,135,
,,,,,,,,2,2,3,3,,,39,
,,,,,,,,9,9,1,1,,,56,
,,,,,,,1,76,77,31,31,,,"1,227",
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
