Fall 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,161,-4.2%,47,17.5%,73,19.7%,,,161,-4.2%,
,AGBU,134,22.9%,,,,,,,181,21.5%,
,AGCJ,138,2.2%,,,,,,,138,2.2%,
,AGEC,368,4.8%,62,10.7%,,,,,503,7.5%,
,AGED,,,48,-18.6%,55,27.9%,,,103,1.0%,
,AGEN,0,-100.0%,0,-100.0%,,,,,0,-100.0%,
,AGLS,117,-55.5%,,,,,,,117,-55.5%,
,AGRO,116,22.1%,17,-10.5%,15,15.4%,,,148,16.5%,
,AGSC,121,33.0%,,,,,,,121,33.0%,
,AGSM,127,-14.2%,3,200.0%,,,,,130,-12.8%,
,ALEC,,,8,100.0%,2,100.0%,,,10,100.0%,
,ALED,542,-16.9%,30,-14.3%,,,,,572,-16.7%,
,ANBR,,,6,50.0%,1,100.0%,,,7,75.0%,
,ANSC,725,-3.7%,63,-10.0%,10,-9.1%,,,798,-4.3%,
,BAEN,149,52.0%,50,31.6%,20,5.3%,,,219,41.3%,
,BESC,183,7.0%,,,,,,,183,7.0%,
,BICH,187,1.1%,46,2.2%,64,8.5%,,,297,2.8%,
,BIOT,,,30,-23.1%,,,,,30,-23.1%,
,BSEN,0,-100.0%,,,,,,,0,-100.0%,
,CDEV,13,160.0%,,,,,,,13,160.0%,
,DASC,5,0.0%,0,-100.0%,,,,,5,-28.6%,
,ECOR,14,75.0%,,,,,,,14,75.0%,
,ENST,15,50.0%,,,,,,,15,50.0%,
,ENTO,60,-31.0%,24,-4.0%,25,8.7%,,,109,-19.3%,
,FISC,,,3,0.0%,,,,,3,0.0%,
,FIVL,82,121.6%,,,,,,,82,121.6%,
,FIVS,4,100.0%,,,,,,,4,100.0%,
,FLOR,4,33.3%,2,100.0%,,,,,6,50.0%,
,FORS,24,26.3%,10,66.7%,6,50.0%,,,40,37.9%,
,FSTC,101,3.1%,30,-3.2%,9,-35.7%,,,140,-2.1%,
,GENE,104,-12.6%,17,6.3%,21,5.0%,,,142,-8.4%,
,HORT,151,-5.6%,17,30.8%,15,-6.3%,,,183,-3.2%,
,MEPS,,,9,28.6%,12,-29.4%,,,21,-12.5%,
,NRDV,,,19,90.0%,,,,,19,90.0%,
,NUSC,475,-15.0%,,,,,,,475,-15.0%,
,NUTR,,,31,24.0%,16,6.7%,,,47,17.5%,
,PLBR,,,18,-5.3%,16,33.3%,,,34,9.7%,
,PLPA,,,18,0.0%,12,20.0%,,,30,7.1%,
,POSC,151,10.2%,17,0.0%,9,-30.8%,,,177,6.0%,
,PPRO,,,2,100.0%,,,,,2,100.0%,
,PREP,,,15,0.0%,10,-16.7%,,,25,-7.4%,
,PSSC,8,100.0%,,,,,,,8,100.0%,
,RENR,39,8.3%,,,,,,,39,8.3%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,
