"Fall 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             SABX
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
4
4
8
2
2
8
1
13
5
43
23
6
6
2
37
28
28
137
137
395","Sophomore
1
2
3
4
8
1
4
8
11
11
47
10
2
1
13
9
9
97
97
284","Junior
2
2
4
5
8
1
5
1
2
1
13
3
13
12
64
11
3
1
15
4
4
10
10
243","Senior
1
1
2
1
5
12
3
10
6
1
15
1
17
8
79
11
4
2
1
18
8
8
323","PB
1
1
2","Total
5
3
5
13
1
18
36
6
18
1
12
2
44
5
54
36
233
56
12
2
11
3
84
49
49
244
244
1,247",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,7,8,15,1,1,3,3,15,
,,,,,,,7,8,15,,,,,15,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,1,1,,,15,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,18,
,,,,,,,,4,4,2,2,,,42,
,,,,,,,,,,,,,,6,
,,,,,,,,2,2,1,1,,,21,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,2,2,,,16,
,,,,,,,,,,,,,,2,
,,,,,,,,4,4,3,3,,,51,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,5,5,,,60,
,,,,,,,3,6,9,14,14,,,59,
,,,,,,,3,19,22,27,27,,,282,
,,,,,,,,,,1,1,,,57,
,,,,,,,,4,4,3,3,,,19,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,12,
,,,,,,,,1,1,1,1,,,5,
,,,,,,,,3,3,,,,,3,
,,,,,,,,8,8,6,6,,,98,
,,,,,,,,1,1,,,,,53,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,4,4,3,3,57,
,,,,,,,,,,,,,,244,
,,,,,,,,,,,,,,244,
,,,,,,,21,154,175,199,199,3,3,"1,624",
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
