"Fall 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             SABX
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
4
5
7
4
5
1
8
9
5
39
68
14
7
4
93
60
60
146
146
518","Sophomore
1
1
2
1
3
6
2
7
3
1
4
2
15
2
46
47
5
4
2
58
21
21
111
111
428","Junior
2
2
2
5
3
15
4
1
2
12
1
16
3
64
62
4
3
69
34
34
12
12
429","Senior
1
2
1
4
2
7
7
11
9
1
4
11
22
8
82
73
5
3
6
87
43
43
1
1
580","PB
1
1
1
1
7","Total
4
4
5
13
5
22
20
33
21
1
9
3
35
3
62
18
232
250
28
17
13
308
158
158
270
270
1,962",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,3,5,1,1,14,14,5,
,,,,,,,2,3,5,,,,,5,
,,,,,,,,,,,,,,4,
,,,,,,,1,2,3,,,,,8,
,,,,,,,1,4,5,1,1,,,11,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,2,8,10,3,3,,,26,
,,,,,,,,,,3,3,,,8,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,20,
,,,,,,,1,1,2,1,1,,,36,
,,,,,,,,,,1,1,,,22,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,1,1,,,37,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,2,2,,,65,
,,,,,,,,3,3,3,3,,,24,
,,,,,,,1,6,7,11,11,,,250,
,,,,,,,,2,2,1,1,,,253,
,,,,,,,,3,3,6,6,,,37,
,,,,,,,2,2,4,1,1,,,22,
,,,,,,,,3,3,4,4,,,20,
,,,,,,,4,4,8,1,1,,,9,
,,,,,,,6,14,20,13,13,,,341,
,,,,,,,,,,,,,,172,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,3,3,14,14,175,
,,,,,,,,,,,,,,270,
,,,,,,,,,,,,,,270,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,,2,,,,,2,
,,,,,,,15,162,177,85,85,14,14,"2,238",
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
