Fall 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN WMHS",,"310
340
230
185
142
117
90
55
344
508
148
156
335
592
301
301
202
193
137
376
193
374
422
727
128
105
55
144
304
305
34
24
5","-11.9%
16.0%
10.6%
-3.6%
-15.0%
15.8%
-14.3%
-8.3%
-9.5%
27.0%
22.3%
-22.4%
-2.0%
7.2%
-9.1%
4.5%
14.8%
-19.9%
-12.7%
15.0%
4.9%
22.6%
-3.4%
13.1%
20.8%
2.9%
-11.3%
-16.3%
20.6%
-10.3%
6.3%
84.6%
400.0%","79
46
62
67
57
125
268
237
1
19
15
17
206
285
25
61
36
220
5","21.5%
2.2%
19.2%
6.3%
18.8%
16.8%
17.0%
-11.6%
100.0%
35.7%
15.4%
-5.6%
2.0%
-8.7%
8.7%
13.0%
12.5%
20.2%
66.7%","55
37
29
28
69
0
94
112
197
5
61
3
167
42
34
16
73
0","5.8%
8.8%
26.1%
27.3%
4.5%
-100.0%
-13.0%
-3.4%
22.4%
-28.6%
22.0%
0.0%
32.5%
20.0%
9.7%
-20.0%
2.8%
-100.0%",,,"310
474
230
268
142
208
90
150
344
634
0
367
156
335
972
301
735
6
19
202
193
15
137
393
193
641
3
422
1,179
67
128
200
55
196
597
305
34
24
5
5
0","-11.9%
15.6%
10.6%
-1.1%
-15.0%
18.2%
-14.3%
3.4%
-9.5%
23.3%
-100.0%
9.2%
-22.4%
-2.0%
8.4%
-9.1%
2.5%
-14.3%
35.7%
14.8%
-19.9%
15.4%
-12.7%
13.9%
4.9%
15.1%
0.0%
-3.4%
9.1%
15.5%
20.8%
7.0%
-11.3%
-12.5%
18.0%
-10.3%
6.3%
84.6%
66.7%
400.0%
-100.0%",
,Subtotal,"7,882",3.1%,"1,831",5.8%,"1,022",10.1%,,,"10,735",4.2%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
