"Fall 2009
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD Populations              SABX
SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
200
104
263
337
76
980
250
617
1,016
537
735
41
135
759
108
895
93
1,295
457
6,938
1,729
542
15
450
280
170
3,186
2,279
42
4
8
46
29
2,408
5,081
5,081
12
63
12
87
48,702",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,56,84,1,4,9,14,,,,2,8,19,1,2,75,125,,
,38,42,,,9,8,,4,,1,1,1,,,48,56,,
,70,121,3,2,9,15,4,4,1,,11,20,1,2,99,164,,
,71,156,4,1,9,16,1,10,,1,28,40,,,113,224,,
,26,17,,,1,1,,3,,,15,13,,,42,34,,
,261,420,8,7,37,54,5,21,1,4,63,93,2,4,377,603,,
,128,80,,1,17,3,4,4,,,4,7,,2,153,97,,
,284,156,10,8,85,36,17,5,5,,4,3,2,2,407,210,,
,614,204,31,11,87,24,12,8,7,,8,6,4,,763,253,,
,54,284,1,5,9,31,11,25,,1,44,70,1,1,120,417,,
,444,115,17,4,74,22,15,7,2,4,18,13,,,570,165,,
,22,9,,,2,4,1,,1,,,1,1,,27,14,,
,57,16,1,,30,25,,,,,,6,,,88,47,,
,207,428,3,13,23,67,4,5,1,2,1,2,,3,239,520,,
,21,63,1,1,3,10,3,,,1,,1,2,2,30,78,,
,253,409,36,15,48,72,16,21,6,3,5,7,,4,364,531,,
,40,19,3,2,12,13,3,,,,,1,,,58,35,,
,674,245,52,8,166,58,45,20,7,2,7,5,3,3,954,341,,
,192,67,41,18,61,33,16,8,2,3,9,3,2,2,323,134,,
,"2,990","2,095",196,86,617,398,147,103,31,16,100,125,15,19,"4,096","2,842",,
,589,430,36,21,214,124,133,120,3,3,33,17,5,1,"1,013",716,,
,123,158,11,8,25,30,16,21,1,3,42,102,,2,218,324,,
,3,9,1,1,1,,,,,,,,,,5,10,,
,152,132,5,7,23,28,10,12,,1,28,50,1,1,219,231,,
,23,114,2,3,7,22,3,17,2,2,9,75,,1,46,234,,
,22,51,1,2,2,4,4,5,,,40,36,1,2,70,100,,
,912,894,56,42,272,208,166,175,6,9,152,280,7,7,"1,571","1,615",,
,"1,161",473,39,14,271,121,103,69,6,4,5,4,7,2,"1,592",687,,
,13,5,,1,,,1,,,,12,8,1,1,27,15,,
,4,,,,,,,,,,,,,,4,,,
,,1,,,,1,,,,,2,4,,,2,6,,
,20,6,2,,1,2,1,,,,7,6,1,,32,14,,
,9,6,,1,,,,1,,,6,5,1,,16,13,,
,"1,207",491,41,16,272,124,105,70,6,4,32,27,10,3,"1,673",735,,
,"1,647","1,978",109,135,382,453,101,169,21,20,13,44,3,6,"2,276","2,805",,
,"1,647","1,978",109,135,382,453,101,169,21,20,13,44,3,6,"2,276","2,805",,
,4,1,,,,,2,,,,3,2,,,9,3,,
,,,,,,,,,,,29,34,,,29,34,,
,3,3,,,1,1,,,,,,3,,1,4,8,,
,7,4,,,1,1,2,,,,32,39,,1,42,45,,
,"16,180","17,386",874,750,"3,173","3,169",967,"1,271",136,135,"1,388","2,996",116,161,"22,834","25,868",,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,
