Fall 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Liberal Arts      AMST
ANTH CLSS COML COMM ECON ENGL FREN GERM HISP HIST INTS MODL MUSC NUTR PHIL POLS PSYC RUSS SOCI SPAN TCMS THAR USLA WMST",,"10
137
16
838
405
624
13
4
681
599
29
82
839
1,205
8
346
98
115
64
5
2","-9.1%
0.7%
60.0%
-0.9%
0.7%
0.2%
-27.8%
0.0%
0.7%
14.8%
-3.3%
-13.7%
-0.1%
4.7%
14.3%
2.4%
0.0%
-11.5%
20.8%
400.0%
100.0%","61
1
21
91
34
7
32
9
2
19
22
38
41","-4.7%
0.0%
-19.2%
26.4%
-2.9%
-30.0%
23.1%
-30.8%
0.0%
-5.0%
69.2%
-9.5%
28.1%","52
42
41
77
21
46
1
7
34
52
67","8.3%
-19.2%
-26.8%
-10.5%
5.0%
4.5%
0.0%
-12.5%
-26.1%
20.9%
6.3%",,,"10
250
16
1
901
537
735
13
4
28
759
599
9
29
3
108
895
1,295
8
454
98
115
64
5
2","-9.1%
0.8%
60.0%
0.0%
-2.5%
1.3%
-1.2%
-27.8%
0.0%
-6.7%
1.7%
14.8%
-30.8%
-3.3%
0.0%
-12.2%
-0.4%
4.8%
14.3%
4.8%
0.0%
-11.5%
20.8%
400.0%
100.0%",
,Subtotal,"6,120",2.2%,378,6.2%,440,-5.8%,,,"6,938",1.8%,
Science,APHY,85,-6.6%,2,0.0%,6,-25.0%,,,8,-20.0%,
,APMS,,,,,,,,,85,-6.6%,
,BIOL,"1,334",3.2%,27,17.4%,26,4.0%,,,"1,387",3.4%,
,BIOT,,,2,0.0%,,,,,2,0.0%,
,BMCB,102,8.5%,,,,,,,102,8.5%,
,BOTN,,,,,4,0.0%,,,4,0.0%,
,CHEM,254,-5.9%,177,28.3%,109,-11.4%,,,540,1.7%,
,GENE,,,2,100.0%,5,-44.4%,,,7,-30.0%,
,MATH,231,19.1%,68,-12.8%,66,10.0%,,,365,9.9%,
,MBIO,69,-15.9%,10,25.0%,8,-11.1%,,,87,-12.1%,
,MEPS,,,,,4,0.0%,,,4,0.0%,
,MSEN,,,,,1,-66.7%,,,1,-66.7%,
,PHYS,127,-5.2%,61,0.0%,83,9.2%,,,271,0.0%,
,STAT,,,115,35.3%,55,7.8%,,,170,25.0%,
,USSC,15,1400.0%,,,,,,,15,1400.0%,
,ZOOL,118,19.2%,2,-71.4%,18,38.5%,,,138,16.0%,
,Subtotal,"2,335",3.4%,466,15.1%,385,0.0%,,,"3,186",4.5%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,
