Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,1,10,23,,34,,5,5,2,2,,,41,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,3,2,,5,,,,,,,,5,
,BUAD,33,29,7,,,69,,9,9,,,,,78,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,6,6,,,,,6,
,FINC,,,9,20,,29,,11,11,1,1,,,41,
,INFO,,,11,17,,28,,,,,,,,28,
,MGMT,,,2,7,,9,,,,3,3,,,12,
,MISY,,,,,,,,2,2,,,,,2,
,MKTG,,,5,10,,15,,3,3,,,,,18,
,MLER,,,,,,,,2,2,,,,,2,
,USBU,,1,,3,,4,,,,,,,,4,
,Subtotal,33,31,47,82,,193,,38,38,6,6,,,237,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,4,4,,,4,
,EDAD,,,,,,,,,,2,2,,,2,
,EDCI,,,,,,,,3,3,3,3,,,6,
,EDHL,3,2,6,4,,15,,,,,,,,15,
,EDIS,1,3,,,,4,,,,,,,,4,
,EDKI,6,1,5,1,,13,,,,,,,,13,
,EDSM,,,,,,,,,,,,,,,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,3,3,7,7,,,10,
,EPSY,,,,,,,1,1,2,2,2,,,4,
,HEED,,,,,,,,1,1,3,3,,,4,
,HLTH,,,,4,,4,,,,,,,,4,
,HRDL,2,1,3,2,,8,,,,,,,,8,
,HRDV,,,,2,,2,,,,,,,,2,
,INST,,,4,13,,17,,,,,,,,17,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,4,,4,,,,2,2,,,6,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,1,1,,,,,1,
,SPMT,,,1,1,,2,,2,2,,,,,4,
,SPSY,,,,,,,,,,4,4,,,4,
,TCMG,,,1,6,,7,,,,,,,,7,
,TCML,1,,,1,,2,,,,,,,,2,
