Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,AMST,2,1,,,,3,,,,,,,,3,
,ANTH,11,4,9,8,,32,,4,4,3,3,,,39,
,CLSS,,1,1,1,,3,,,,,,,,3,
,COMM,19,18,26,33,,96,,2,2,5,5,,,103,
,ECON,8,6,20,26,,60,,2,2,,,,,62,
,ENGL,15,24,31,37,,107,,,,11,11,,,118,
,FREN,,1,,,,1,,,,,,,,1,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,5,5,12,12,,,17,
,HIST,8,22,31,35,,96,,4,4,4,4,,,104,
,INTS,17,29,40,60,,146,,,,,,,,146,
,MODL,,,,,,,1,3,4,,,,,4,
,MUSC,3,,1,6,,10,,,,,,,,10,
,NRSC,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,1,3,2,5,,11,,2,2,2,2,,,15,
,POLS,24,21,30,45,,120,,2,2,1,1,,,123,
,PSYC,34,50,81,90,,255,,6,6,10,10,,,271,
,RUSS,,1,,,,1,,,,,,,,1,
,SOCI,10,7,36,36,,89,,16,16,17,17,,,122,
,SPAN,1,,13,22,,36,,,,,,,,36,
,TCMS,4,5,1,5,,15,,,,,,,,15,
,THAR,4,2,2,7,,15,,,,,,,,15,
,USLA,,,1,,,1,,,,,,,,1,
,WGST,2,2,4,1,,9,,,,,,,,9,
,Subtotal,163,197,329,417,,"1,106",1,47,48,65,65,,,"1,219",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
