Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,4,,1,1,,6,,,,,,,,6,
,CLGE,,,1,,,1,,,,,,,,1,
,GEOG,1,1,1,2,,5,,,,1,1,,,6,
,GEPL,1,,1,7,,9,,1,1,,,,,10,
,OCNG,,,,,,,,1,1,,,,,1,
,Subtotal,6,1,4,10,,21,,2,2,1,1,,,24,
Liberal Arts,ANTH,1,1,1,1,,4,,3,3,3,3,,,10,
,CLLA,2,7,5,3,,17,,,,,,,,17,
,COMM,12,6,10,12,,40,,1,1,3,3,,,44,
,ECON,1,1,3,5,,10,,,,,,,,10,
,ENGL,4,3,6,4,,17,,,,2,2,,,19,
,EURO,,1,,,,1,,,,,,,,1,
,HISP,,,,1,,1,,,,,,,,1,
,HIST,,1,12,7,,20,,2,2,2,2,,,24,
,PHUM,,,1,3,,4,,,,,,,,4,
,POLS,7,7,10,13,1,38,,4,4,1,1,,,43,
,PRFM,,,1,3,,4,,,,,,,,4,
,PSYC,11,13,24,15,,63,,2,2,5,5,,,70,
,SOCI,4,6,10,14,,34,1,10,11,14,14,,,59,
,Subtotal,42,46,83,81,1,253,1,22,23,30,30,,,306,
Science,BIOL,27,12,8,11,1,59,,,,1,1,,,60,
,CHEM,4,3,3,3,,13,,3,3,5,5,,,21,
,CLSC,,,1,1,,2,,,,,,,,2,
,MATH,1,4,3,3,,11,,,,1,1,,,12,
,PHYS,2,,,2,,4,,1,1,1,1,,,6,
,STAT,,,,,,,2,2,4,,,,,4,
,Subtotal,34,19,15,20,1,89,2,6,8,8,8,,,105,
Veterinary Medicine,CLVM,29,14,4,8,,55,,1,1,,,4,4,60,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,1,1,,,1,
,VTPP,,,,,,,,1,1,,,,,1,
,Subtotal,29,14,4,8,,55,,2,2,1,1,4,4,62,
General Studies,GEST,124,91,14,,,229,,,,,,,,229,
,Subtotal,124,91,14,,,229,,,,,,,,229,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,346,296,284,371,5,"1,302",23,167,190,218,218,4,4,"1,714",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
