Demographic Summary First Generation Students Fall 2010,,,,,,
Fall 2010,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,"1,322","10,175","27,651","39,148",
Gender,Female,469,"5,031","13,095","18,595",
,Male,853,"5,144","14,556","20,553",
Ethnicity,White Only (NEW),443,"5,674","22,229","28,346",
,Black Only + 2 or more/1 Black (NEW),59,586,657,"1,302",
,Hispanic or Latino of any Race (NEW),135,"3,188","2,896","6,219",
,Asian Only (NEW),63,511,"1,194","1,768",
,Native Hawaii Only (New),3,14,34,51,
,American Indian Only (NEW),4,35,109,148,
,International,593,5,21,619,
,2 or More/Excluding Black (NEW),10,146,481,637,
,Unknown or Not Reported,12,16,30,58,
TAMU Age Categories,<18,11,19,44,74,
,18-21,840,"7,425","21,583","29,848",
,22-25,361,"2,388","5,657","8,406",
,26-30,59,220,262,541,
,31-39,37,92,74,203,
,40+,14,31,31,76,
College,Agriculture,162,"1,672","3,539","5,373",
,Architecture,36,368,980,"1,384",
,Business Admin,95,844,"3,216","4,155",
,Education,69,"1,030","2,693","3,792",
,Engineering,422,"1,745","5,991","8,158",
,Geosciences,40,191,462,693,
,Liberal Arts,168,"1,717","4,380","6,265",
,Science,84,661,"1,651","2,396",
,Veterinary Medicine,23,434,"1,226","1,683",
,General Studies,159,"1,513","3,513","5,185",
,Other - Special Populations,64,,,64,
Enrollment Status,1st Time in College,224,"2,101","5,851","8,176",
,1st Time Transfer,111,557,967,"1,635",
,Readmitted,2,152,323,477,
,Continuing,985,"7,365","20,510","28,860",
Tuition Status,Resident Tuition,688,"9,725","26,066","36,479",
,Non-Resident Tuition,415,49,414,878,
,Tuition Exemption/Waiver,219,401,"1,171","1,791",
Residency Status,Texas Resident,712,"10,005","26,625","37,342",
,"Non-TX, US Resident",32,163,"1,000","1,195",
,"Non-TX, Non-US Resident",578,7,26,611,
SCH Categories,< 6 SCH,38,323,959,"1,320",
,6-8 SCH,49,299,588,936,
,9-11 SCH,31,350,921,"1,302",
,12-14 SCH,673,"5,681","14,680","21,034",
,15-17 SCH,477,"3,314","9,972","13,763",
,>17 SCH,54,208,531,793,
Ft/Pt: TAMU Status,Less Than Half Time,30,307,900,"1,237",
,Half-Time,60,590,"1,369","2,019",
,Three-Quarter Time,,,1,1,
,Full-Time,"1,232","9,278","25,381","35,891",
Top 10% Texas High School,No,"1,124","5,225","17,161","23,510",
,Yes,198,"4,950","10,490","15,638",
"Prepared by OISP, 23 Nov 10",,,,,,
