Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Architecture,ARCH,,,,,,,1,52,53,11,11,,,64,
,COMG,,,,,,,,11,11,,,,,11,
,COSC,,,89,217,3,309,,,,,,,,309,
,COSL,42,80,42,7,1,172,,,,,,,,172,
,ENDL,63,39,20,4,,126,,,,,,,,126,
,ENDS,,,35,100,,135,,,,,,,,135,
,LAND,,3,11,47,,61,1,10,11,,,,,72,
,LANL,8,14,4,2,,28,,,,,,,,28,
,LDEV,,,,,,,,22,22,,,,,22,
,URPL,,,,,,,,26,26,,,,,26,
,URSC,11,5,14,16,,46,,,,8,8,,,54,
,USAR,,3,10,17,,30,,,,,,,,30,
,VISL,31,32,15,4,,82,,,,,,,,82,
,VIST,,,16,35,,51,1,51,52,,,,,103,
,Subtotal,155,176,256,449,4,"1,040",3,172,175,19,19,,,"1,234",
Business Admin,ACCT,,2,211,296,,509,,93,93,14,14,,,616,
,AGBU,,1,3,2,,6,,,,,,,,6,
,BHNR,,,53,53,,106,,,,,,,,106,
,BUAD,522,604,105,3,,"1,234",,71,71,,,,,"1,305",
,BUAG,3,3,3,,,9,,,,,,,,9,
,EMBA,,,,,,,,62,62,,,,,62,
,FINC,,4,183,239,1,427,,75,75,4,4,,,506,
,INFO,,,82,157,,239,,,,,,,,239,
,MGMT,,,90,139,,229,,38,38,10,10,,,277,
,MISY,,,,,,,,39,39,,,,,39,
,MKTG,,1,141,203,,345,,42,42,3,3,,,390,
,MLER,,,,,,,,51,51,,,,,51,
,USBU,,2,45,72,1,120,,,,,,,,120,
,Subtotal,525,617,916,"1,164",2,"3,224",,471,471,31,31,,,"3,726",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
