Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ADEV,,,,,,,,,,,,,,,
,AGBL,,,2,,,2,,,,,,,,2,
,AGBU,,,1,3,,4,,2,2,,,,,6,
,AGCJ,,,1,,,1,,,,,,,,1,
,AGEC,,1,,1,,2,,,,1,1,,,3,
,AGLS,,,1,2,,3,,,,,,,,3,
,AGRO,,1,1,,,2,,,,,,,,2,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,,,2,,2,,,,,,,,2,
,ALEC,,,,,,,,,,1,1,,,1,
,ALED,,,,,,,,,,,,,,,
,ANBR,,,,,,,,,,,,,,,
,ANSC,1,1,2,1,,5,,,,,,,,5,
,BAEN,,,4,5,,9,,,,2,2,,,11,
,BESC,,1,5,7,,13,,,,,,,,13,
,BICH,13,9,10,8,1,41,,1,1,,,,,42,
,BIOT,,,,,,,,3,3,,,,,3,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,,
,FISC,,,,,,,,,,,,,,,
,FIVL,2,,,,,2,,,,,,,,2,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,1,1,,,,,1,
,FSTC,2,,,1,,3,,2,2,,,,,5,
,GENE,2,,1,2,,5,,1,1,1,1,,,7,
,HORT,,,,,,,,1,1,,,,,1,
,MEPS,,,,,,,,1,1,,,,,1,
,NRDV,,,,,,,,,,,,,,,
,NUSC,1,1,7,12,,21,,,,,,,,21,
,NUTR,,,,,,,,3,3,,,,,3,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
,POSC,,,,,,,,,,,,,,,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
