Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,1,4,,5,,10,,77,77,79,79,,,166,
Engineering,AERL,,,,,,,,,,,,,,,
,AERO,,2,2,5,,9,,16,16,29,29,,,54,
,BIOT,,,,,,,,,,,,,,,
,BMEL,,1,,,,1,,,,,,,,1,
,BMEN,,1,1,2,,4,,13,13,21,21,,,38,
,CECL,,2,2,1,,5,,,,,,,,5,
,CECN,,1,1,2,,4,1,57,58,30,30,,,92,
,CEEL,1,2,1,,,4,,,,,,,,4,
,CEEN,,,3,4,,7,,51,51,22,22,,,80,
,CHEL,,1,2,,,3,,,,,,,,3,
,CHEN,,4,5,25,,34,,34,34,58,58,,,126,
,CPSC,,,6,6,,12,,107,107,45,45,,,164,
,CPSL,2,,4,1,,7,,,,,,,,7,
,CVEL,1,2,2,1,,6,,,,,,,,6,
,CVEN,,4,6,8,,18,,128,128,99,99,,,245,
,ELEL,4,8,9,2,,23,,,,,,,,23,
,ELEN,,3,8,19,,30,,174,174,173,173,,,377,
,ENGR,,,,,,,,,,2,2,,,2,
,ENSM,,,,,,,,2,2,,,,,2,
,ENTC,,1,,5,,6,,,,,,,,6,
,ENTL,,,1,,,1,,,,,,,,1,
,HLPH,,,,,,,,1,1,,,,,1,
,IDIL,,1,1,,,2,,,,,,,,2,
,IDIS,,,1,3,,4,,,,,,,,4,
,INEL,1,4,4,1,,10,,,,,,,,10,
,INEN,1,1,5,11,,18,,170,170,48,48,,,236,
,ITDE,,,,,,,,,,,,,,,
,MEEL,1,1,,,,2,,,,,,,,2,
,MEEN,,1,4,12,,17,3,125,128,138,138,,,283,
,MSEN,,,,,,,,20,20,41,41,,,61,
,NUEL,3,,1,,,4,,,,,,,,4,
,NUEN,,1,3,5,,9,,17,17,17,17,,,43,
,OCEL,,1,,,,1,,,,,,,,1,
,OCEN,,,,2,,2,,23,23,13,13,,,38,
,PETE,,4,4,20,1,29,1,120,121,83,83,,,233,
,PETL,,3,20,2,,25,,,,,,,,25,
,RHEL,,,,,,,,,,,,,,,
