Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,USEN,,,1,1,,2,,,,,,,,2,
,Subtotal,"1,292","1,084","1,128","2,120",20,"5,644",3,476,479,208,208,,,"6,331",
G. Bush School of Govt,CAIA,,,,,,,38,,38,,,,,38,
,CHLS,,,,,,,19,,19,,,,,19,
,CNPM,,,,,,,19,,19,,,,,19,
,INTA,,,,,,,,81,81,,,,,81,
,PSAA,,,,,,,,61,61,,,,,61,
,Subtotal,,,,,,,76,142,218,,,,,218,
Geosciences,ATMO,,,,,,,,25,25,9,9,,,34,
,ENGS,15,21,22,37,1,96,,,,,,,,96,
,ENST,9,8,28,23,,68,,,,,,,,68,
,GEOG,4,11,26,42,,83,1,16,17,13,13,,,113,
,GEOL,21,19,19,72,1,132,1,44,45,10,10,,,187,
,GEOP,7,9,3,11,1,31,,7,7,2,2,,,40,
,GEOS,,,,,,,,2,2,,,,,2,
,MARB,,,,,,,,1,1,,,,,1,
,METR,33,23,21,26,2,105,,,,,,,,105,
,OCNG,,,,,,,,23,23,22,22,,,45,
,SPSG,1,,1,2,,4,,,,,,,,4,
,USGE,,,,1,,1,,,,,,,,1,
,WMHS,,,,,,,,12,12,5,5,,,17,
,Subtotal,90,91,120,214,5,520,2,130,132,61,61,,,713,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
