Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,5,10,23,20,,58,,6,6,1,1,,,65,
,ALEC,10,5,23,51,,89,2,7,9,2,2,,,100,
,ANSC,20,17,23,30,1,91,,7,7,,,,,98,
,BAEN,7,7,11,8,,33,,2,2,,,,,35,
,BCBP,11,5,7,13,,36,1,6,7,6,6,,,49,
,CLAG,2,5,3,6,,16,,,,,,,,16,
,ENTO,19,10,10,16,1,56,,4,4,3,3,,,63,
,ESSM,6,8,10,10,,34,1,3,4,9,9,,,47,
,HRSC,,4,10,11,,25,,,,1,1,,,26,
,NFSC,13,9,23,44,1,90,,4,4,1,1,,,95,
,PLPM,3,6,23,33,,65,,4,4,3,3,,,72,
,POSC,1,8,5,15,,29,,4,4,,,,,33,
,RPTS,2,6,10,20,,38,,3,3,1,1,,,42,
,SCSC,1,3,9,3,,16,,2,2,5,5,,,23,
,WFSC,6,17,24,29,,76,,19,19,10,10,,,105,
,Subtotal,106,120,214,309,3,752,4,71,75,42,42,,,869,
Architecture,ARCH,22,16,22,22,,82,,14,14,3,3,,,99,
,CLAR,,,3,9,,12,,,,,,,,12,
,COSC,8,14,24,31,,77,,4,4,,,,,81,
,LAUP,15,11,9,15,,50,,7,7,2,2,,,59,
,VIZA,6,7,6,7,,26,,8,8,,,,,34,
,Subtotal,51,48,64,84,,247,,33,33,5,5,,,285,
Business Admin,ACCT,,,27,27,,54,,10,10,,,,,64,
,CLBA,126,82,34,12,,254,,22,22,,,,,276,
,FINC,,,21,32,,53,,5,5,1,1,,,59,
,INFO,,,22,33,,55,,7,7,,,,,62,
,MGMT,,,10,22,,32,,6,6,,,,,38,
,MKTG,,,17,31,,48,,3,3,,,,,51,
,Subtotal,126,82,131,157,,496,,53,53,1,1,,,550,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,5,,21,31,,57,2,14,16,59,59,,,132,
,EPSY,12,10,13,38,,73,1,31,32,35,35,,,140,
,HLKN,39,61,65,104,,269,1,8,9,3,3,,,281,
,TLAC,21,19,30,35,,105,5,19,24,16,16,,,145,
,Subtotal,77,90,129,208,,504,9,72,81,113,113,,,698,
Engineering,AERO,49,16,18,33,,116,,5,5,4,4,,,125,
,BMEN,28,13,6,18,1,66,,4,4,2,2,,,72,
,CHEN,22,26,16,33,,97,,2,2,3,3,,,102,
,CLEN,,,,,,,,,,,,,,,
,CSCE,35,22,25,29,,111,,6,6,3,3,,,120,
,CVEN,44,33,33,75,,185,,17,17,,,,,202,
,ECEN,58,25,33,41,2,159,,14,14,6,6,,,179,
,ETID,10,14,37,79,1,141,,4,4,,,,,145,
,ISEN,16,17,47,62,,142,,10,10,1,1,,,153,
,MEEN,48,26,32,49,1,156,,23,23,8,8,,,187,
,NUEN,21,10,8,12,1,52,,7,7,2,2,,,61,
,PETE,17,14,13,19,,63,,13,13,2,2,,,78,
,Subtotal,348,216,268,450,6,"1,288",,105,105,31,31,,,"1,424",
G. Bush School of Govt,BUSH,,,,,,,8,26,34,,,,,34,
,Subtotal,,,,,,,8,26,34,,,,,34,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
