Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,77,90,129,208,,504,9,72,81,113,113,,,698,
Engineering,AERL,49,14,6,1,,70,,,,,,,,70,
,AERO,,2,12,32,,46,,5,5,4,4,,,55,
,BIOT,,,,,,,,,,,,,,,
,BMEL,28,9,1,1,,39,,,,,,,,39,
,BMEN,,4,5,17,1,27,,4,4,2,2,,,33,
,CECL,20,12,7,1,,40,,,,,,,,40,
,CECN,1,1,3,14,,19,,2,2,1,1,,,22,
,CEEL,14,3,3,,1,21,,,,,,,,21,
,CEEN,,1,1,7,,9,,1,1,,,,,10,
,CHEL,22,9,1,5,,37,,,,,,,,37,
,CHEN,,17,15,28,,60,,2,2,2,2,,,64,
,CPSC,,3,9,10,,22,,4,4,2,2,,,28,
,CPSL,14,6,6,4,,30,,,,,,,,30,
,CVEL,41,14,4,2,,61,,,,,,,,61,
,CVEN,,16,23,58,,97,,16,16,,,,,113,
,ELEL,43,14,9,2,,68,,,,,,,,68,
,ELEN,1,7,20,32,1,61,,13,13,6,6,,,80,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,6,33,,39,,,,,,,,39,
,ENTL,7,4,14,3,1,29,,,,,,,,29,
,HLPH,,,,,,,,3,3,,,,,3,
,IDIL,3,8,5,2,,18,,,,,,,,18,
,IDIS,,2,12,41,,55,,4,4,,,,,59,
,INEL,16,12,13,10,,51,,,,,,,,51,
,INEN,,5,34,52,,91,,9,9,1,1,,,101,
,ITDE,,,,,,,,,,,,,,,
,MEEL,48,16,5,,,69,,,,,,,,69,
,MEEN,,10,27,49,1,87,,22,22,8,8,,,117,
,MSEN,,,,,,,,1,1,1,1,,,2,
,NUEL,15,6,2,1,,24,,,,,,,,24,
,NUEN,1,1,4,8,1,15,,4,4,2,2,,,21,
,OCEL,3,2,,1,,6,,,,,,,,6,
,OCEN,,1,6,14,,21,,1,1,,,,,22,
,PETE,,1,3,14,,18,,13,13,2,2,,,33,
,PETL,17,13,10,5,,45,,,,,,,,45,
,RHEL,5,1,1,,,7,,,,,,,,7,
