Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,3,3,3,3,,,6,
,RPTS,,,1,1,,2,,6,6,19,19,,,27,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,2,2,3,3,,,5,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,,1,,1,,4,4,15,15,,,20,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,1,1,,,2,
,Subtotal,10,5,11,16,,42,3,202,205,227,227,,,474,
Architecture,ARCH,,,,,,,,36,36,31,31,,,67,
,COMG,,,,,,,,38,38,,,,,38,
,COSC,,,,2,,2,,,,,,,,2,
,COSL,,1,1,,,2,,,,,,,,2,
,ENDL,,,,,,,,,,,,,,,
,ENDS,,,,4,,4,,,,,,,,4,
,LAND,,,,,,,,23,23,,,,,23,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,13,13,,,,,13,
,URPL,,,,,,,1,17,18,,,,,18,
,URSC,,,,,,,,8,8,35,35,,,43,
,USAR,,,,1,,1,,,,,,,,1,
,VISL,,,,,,,,,,,,,,,
,VIST,,,1,1,,2,,14,14,,,,,16,
,Subtotal,,1,2,8,,11,1,149,150,66,66,,,227,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
