Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,2,2,3,3,,,5,
,APMS,23,8,16,28,,75,,,,,,,,75,
,BIOL,227,137,165,213,3,745,1,14,15,10,10,,,770,
,BMCB,16,10,17,23,,66,,,,,,,,66,
,BOTN,,,,,,,,1,1,1,1,,,2,
,CHEM,41,28,30,50,2,151,,60,60,53,53,,,264,
,GENE,,,,,,,,,,2,2,,,2,
,MATH,46,47,18,53,,164,6,30,36,18,18,,,218,
,MBIO,18,6,9,19,,52,,2,2,4,4,,,58,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,50,14,17,20,,101,,28,28,31,31,,,160,
,STAT,,,,,,,15,50,65,12,12,,,77,
,USSC,,,5,7,3,15,,,,,,,,15,
,ZOOL,25,23,20,16,,84,,3,3,15,15,,,102,
,Subtotal,446,273,297,429,8,"1,453",22,190,212,149,149,,,"1,814",
Veterinary Medicine,BIMS,399,250,181,289,,"1,119",1,31,32,7,7,,,"1,158",
,GENE,,,,,,,,1,1,5,5,,,6,
,LAMD,,,,,,,,2,2,,,,,2,
,STJR,,,,,,,,7,7,,,,,7,
,TOXI,,,,,,,,2,2,7,7,,,9,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,1,1,,,,,1,
,VPAT,,,,,,,,4,4,6,6,,,10,
,VPHY,,,,,,,,,,1,1,,,1,
,VTMD,,,,,,,,,,,,440,440,440,
,VTMI,,,,,,,,2,2,4,4,,,6,
,VTMS,,,,,,,,1,1,,,,,1,
,Subtotal,399,250,181,289,,"1,119",1,51,52,30,30,440,440,"1,641",
General Studies,GEST,"1,392","1,191",206,1,,"2,790",,,,,,,,"2,790",
,TEAM,705,125,2,,,832,,,,,,,,832,
,Subtotal,"2,097","1,316",208,1,,"3,622",,,,,,,,"3,622",
Other - Special Populations,MARB,,,,,,,,1,1,,,,,1,
,MARM,,,,,,,,1,1,,,,,1,
,MDSC,,,,,,,4,,4,,,,,4,
,PETE,,,,1,,1,,,,,,,,1,
,PHLT,,,,,,,7,,7,,,,,7,
,REEP,,,1,,,1,,,,,,,,1,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
