Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,,,,1,
Albania,,,1,,1,
Angola,11,,,,11,
Argentina,,4,1,,5,
Armenia,,2,1,,3,
Australia,4,1,,,5,
Austria,3,,2,,5,
Azerbaijan,1,2,,,3,
"Bahamas, The",1,1,1,,3,
Bahrain,5,,2,,7,
Bangladesh,2,8,8,,18,
Barbados,,,1,,1,
Belarus,1,,1,,2,
Belgium,,,1,,1,
Belize (British Honduras),1,1,,,2,
Benin,1,,,,1,
Bhutan,,1,,,1,
Bolivia,10,1,,,11,
Botswana,,,1,,1,
Brazil,6,11,17,,34,
Bulgaria,1,1,,,2,
Burma (Myanmar),1,1,,,2,
Cambodia (Kampuchea),,,1,,1,
Cameroon,1,3,4,,8,
Canada,20,12,13,,45,
Chad,1,,,,1,
Chile,,3,6,,9,
"China, People's Rep of",55,565,446,,"1,066",
Colombia,1,21,31,,53,
Costa Rica,5,3,,,8,
Cote d'Ivoire (Ivory Coast),2,1,,,3,
Croatia,1,,,,1,
Cyprus,1,1,,,2,
Czech Republic,1,2,,,3,
Denmark,2,,,,2,
Dominica,,,1,,1,
Dominican Republic,,,2,,2,
Ecuador,,10,7,,17,
Egypt (A.R.E.),1,8,22,,31,
El Salvador,8,4,2,,14,
Equatorial Guinea,6,,,,6,
Ethiopia,1,1,3,,5,
Fiji,1,,,,1,
France,9,17,5,,31,
