Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ADEV,,,,,,,,,,,,,,,
,AGBL,1,1,1,,,3,,,,,,,,3,
,AGBU,,,,,,,,,,,,,,,
,AGCJ,,1,1,2,,4,,,,,,,,4,
,AGEC,,,2,6,,8,,,,2,2,,,10,
,AGLS,,7,,2,,9,,,,,,,,9,
,AGRO,,,2,,,2,,,,,,,,2,
,AGSC,,1,,,,1,,,,,,,,1,
,AGSM,,,,1,,1,,,,,,,,1,
,ALEC,,,,,,,2,3,5,7,7,,,12,
,ALED,1,6,19,18,,44,,,,,,,,44,
,ANBR,,,,,,,,,,,,,,,
,ANSC,,1,1,2,,4,,2,2,,,,,6,
,BAEN,2,,2,2,,6,,,,3,3,,,9,
,BESC,1,,5,10,,16,,,,,,,,16,
,BICH,4,1,4,1,,10,,3,3,,,,,13,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,1,,,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,1,1,1,,3,,1,1,,,,,4,
,FISC,,,,,,,,1,1,,,,,1,
,FIVL,3,,2,,,5,,,,,,,,5,
,FIVS,,,,1,,1,,,,,,,,1,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,2,2,,,2,
,FSTC,,2,2,2,,6,,,,,,,,6,
,GENE,2,1,,1,,4,,,,,,,,4,
,HORT,,,,1,,1,,,,,,,,1,
,MEPS,,,,,,,,1,1,,,,,1,
,NRDV,,,,,,,,,,,,,,,
,NUSC,4,1,,3,,8,,,,,,,,8,
,NUTR,,,,,,,,,,1,1,,,1,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,1,1,,,,,1,
,POSC,,1,3,1,,5,,1,1,1,1,,,7,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,1,1,,,1,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
