Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ADEV,,,,,,,,1,1,,,,,1,
,AGBL,1,1,1,,,3,,,,,,,,3,
,AGBU,,,,3,,3,,,,,,,,3,
,AGCJ,,,3,,,3,,,,,,,,3,
,AGEC,,2,1,2,,5,,1,1,,,,,6,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,,,1,,1,,,,,,,,1,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,,,,,,
,ALED,,,1,1,,2,,,,,,,,2,
,ANBR,,,,,,,,,,,,,,,
,ANSC,2,2,3,,,7,,,,,,,,7,
,BAEN,1,1,2,3,,7,,1,1,,,,,8,
,BESC,,1,1,2,,4,,,,,,,,4,
,BICH,1,2,2,,,5,,,,,,,,5,
,BIOT,,,,,,,,1,1,,,,,1,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,1,,2,,,3,,,,,,,,3,
,FISC,,,,,,,,,,,,,,,
,FIVL,2,1,1,,,4,,,,,,,,4,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,1,,,1,,,,,,,,1,
,FORS,,,,,,,,,,,,,,,
,FSTC,,,1,3,,4,,,,,,,,4,
,GENE,1,1,1,1,,4,,,,,,,,4,
,HORT,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,,,,,,
,NRDV,,,,,,,,,,,,,,,
,NUSC,1,1,3,1,,6,,,,,,,,6,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,1,1,,,,,1,
,POSC,,1,,,,1,,1,1,,,,,2,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
