Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,,,,,,
,RPTS,,1,2,5,,8,,,,,,,,8,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,2,2,,,2,
,SPSA,,,1,,,1,,,,,,,,1,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,1,1,,2,,,,,,,,2,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,21,15,39,50,1,126,,15,15,7,7,,,148,
Architecture,ARCH,,,,,,,1,4,5,3,3,,,8,
,COMG,,,,,,,,1,1,,,,,1,
,COSC,,,,4,,4,,,,,,,,4,
,COSL,,3,,,,3,,,,,,,,3,
,ENDL,,3,1,,,4,,,,,,,,4,
,ENDS,,,3,1,,4,,,,,,,,4,
,LAND,,,,4,,4,,,,,,,,4,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,,,,1,,1,,,,3,3,,,4,
,USAR,,,,,,,,,,,,,,,
,VISL,3,,,,,3,,,,,,,,3,
,VIST,,,,2,,2,,4,4,,,,,6,
,Subtotal,3,6,4,12,,25,1,9,10,6,6,,,41,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
