Headcount by Major by Ethnic Origin by Gender Fall 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Agriculture,ADEV,13,10,,,1,4,,,,,,,,,,1,,,14,15,29,
,AGBL,56,91,1,2,8,11,,2,,,,,1,2,,3,,,66,111,177,
,AGBU,52,83,,,7,2,4,2,,,,,11,14,,3,,,74,104,178,
,AGCJ,133,29,4,,16,6,1,,,,3,,2,,2,1,,,161,36,197,
,AGEC,113,288,3,7,11,26,1,2,,,2,1,31,58,1,5,,,162,387,549,
,AGLS,14,26,5,4,7,9,1,2,,,,,,2,,,,,27,43,70,
,AGRO,27,116,2,,5,11,,2,,,,1,,6,,1,,,34,137,171,
,AGSC,79,34,,1,6,6,,,,,,1,,,,,,,85,42,127,
,AGSM,5,116,,1,1,11,1,1,,,,1,,1,,,,,7,131,138,
,ALEC,60,42,6,6,,6,,1,,,,,7,1,,,,1,73,57,130,
,ALED,137,227,5,39,15,25,,,,,,4,,3,2,,,,159,298,457,
,ANBR,7,2,,,,,,,,,,,,1,,,,,7,3,10,
,ANSC,485,197,5,1,62,33,5,,,,5,,2,3,6,1,1,,571,235,806,
,BAEN,28,126,4,5,11,12,5,6,,,,1,14,31,3,5,,1,65,187,252,
,BESC,65,62,8,8,42,21,6,7,,1,1,1,1,,3,1,,,126,101,227,
,BICH,54,96,10,3,12,16,22,20,,,,1,21,32,2,3,,1,121,172,293,
,BIOT,,5,,,1,,2,1,,,,,8,6,,1,,,11,13,24,
,CDEV,11,9,1,,1,,,,,,,,,,,,,,13,9,22,
,DASC,1,1,,,,,,,,,,,,,,,,,1,1,2,
,ECOR,4,9,,,1,5,,,,,,,,,,,,,5,14,19,
,ENST,7,11,,,1,1,,,,,,,,,,,,,8,12,20,
,ENTO,37,31,2,2,16,13,,,,,,,7,7,1,2,1,,64,55,119,
,FISC,,2,,1,,,,,,,,,,,,,,,,3,3,
,FIVL,21,4,4,1,21,6,1,1,,,,,,,3,1,,,50,13,63,
,FIVS,6,5,,1,7,,,,,,,,,,,,,,13,6,19,
,FLOR,4,,,,1,,,,,,,,,,1,,,,6,,6,
,FORS,8,19,2,,1,4,,1,,,,,3,3,,,,1,14,28,42,
,FSTC,68,30,5,1,15,6,3,2,,,,,13,9,2,2,,,106,50,156,
,GENE,66,28,3,1,11,9,5,2,,,,,5,8,3,1,1,,94,49,143,
,HORT,100,50,1,,16,9,1,,,,2,1,12,10,,,,,132,70,202,
,MEPS,3,4,,1,2,,,1,,,,,6,3,,,1,1,12,10,22,
,NRDV,9,15,,,2,,,,,,,,,,,,,,11,15,26,
,NUSC,281,30,6,2,55,17,15,6,1,,2,,2,1,5,1,,,367,57,424,
,NUTR,24,7,1,,3,,2,1,,,,,13,3,,,,,43,11,54,
,PLBR,6,16,,,,2,,,,,,,9,11,,,,,15,29,44,
,PLPA,5,3,1,,3,4,,,,,,,8,8,1,,,1,18,16,34,
,POSC,59,80,4,3,17,15,,,,,1,,4,7,2,,,,87,105,192,
,PPRO,1,1,,,,,,,,,,,,,,,,,1,1,2,
,PREP,8,4,1,,2,1,,,,1,,,3,1,,,,,14,7,21,
,PSSC,2,6,,,,1,,,,,,,,,,1,,,2,8,10,
,RENR,7,29,,,5,6,,,,,,2,,,,,,,12,37,49,
,RLEM,26,61,1,,7,12,,,,,,,5,1,,2,,,39,76,115,
,RPTS,154,130,8,4,24,17,3,5,,,,1,19,8,,2,1,,209,167,376,
,RRDV,,,,1,,,,,,,,,,,,,,,,1,1,
,SOSC,8,12,,1,1,,,2,,,,,3,2,,,,,12,17,29,
,SPSA,3,26,,,,5,,1,,,,,,,,2,,,3,34,37,
,TOXI,,,,,,1,,,,,,,,,,,,,,1,1,
,USAL,60,70,4,6,6,9,,,,,,,,,,2,,,70,87,157,
,WFSC,176,186,6,2,57,44,2,,,,2,1,16,4,2,3,2,,263,240,503,
,WISC,5,6,,,1,1,,,,,,,,,,,,,6,7,13,
,WMHS,4,6,1,,,1,,,,,,,2,,,,,,7,7,14,
,Subtotal,"2,502","2,441",104,104,481,388,80,68,1,2,18,16,228,246,39,44,7,6,"3,460","3,315","6,775",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,
