Headcount by Major by Level Fall 2010,,,,,,,
Fall 2010,,Undergraduate,Masters,PhD,Professional,Total,
G. Bush School of Govt,CAIA,,55,,,55,
,CHLS,,23,,,23,
,CNPM,,23,,,23,
,INTA,,108,,,108,
,PSAA,,99,,,99,
,Subtotal,,308,,,308,
Geosciences,ATMO,,34,24,,58,
,ENGS,127,,,,127,
,ENST,97,,,,97,
,GEOG,95,24,33,,152,
,GEOL,173,66,24,,263,
,GEOP,57,18,11,,86,
,GEOS,,3,,,3,
,MARB,,1,2,,3,
,METR,136,,,,136,
,OCNG,,39,45,,84,
,SPSG,5,,,,5,
,USGE,3,,,,3,
,WMHS,,19,11,,30,
,Subtotal,693,204,150,,"1,047",
Liberal Arts,AMST,15,,,,15,
,ANTH,166,68,59,,293,
,CLSS,14,,,,14,
,COMM,779,16,43,,838,
,ECON,461,59,51,,571,
,ENGL,649,24,77,,750,
,FREN,16,,,,16,
,GERM,4,,,,4,
,HISP,,11,23,,34,
,HIST,722,29,47,,798,
,INTS,633,,,,633,
,MODL,,9,,,9,
,MUSC,35,,,,35,
,NRSC,,3,1,,4,
,NUTR,,1,,,1,
,PERF,,6,,,6,
,PHIL,78,17,8,,103,
,POLS,750,21,29,,800,
,PSYC,"1,243",47,54,,"1,344",
,RUSS,12,,,,12,
,SOCI,386,40,64,,490,
"Prepared by OISP, 23 Nov 10",,,,,,,
