Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,,1,,,1,1,,1,1,1,,,3,
,CLSS,,,,,,,,,,,,,,,
,COMM,,,1,,,1,,,,,,,,1,
,ECON,,1,1,,,2,,,,,,,,2,
,ENGL,1,,1,,,2,,,,,,,,2,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,,,,,,,2,2,,,2,
,INTS,,,,,,,,,,,,,,,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,1,,,1,,,,,,,,1,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,,,,,,,2,2,,,,,2,
,POLS,2,2,1,,,5,,,,,,,,5,
,PSYC,2,1,,1,,4,,,,,,,,4,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,1,,,,1,,,,1,1,,,2,
,SPAN,,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,5,5,6,1,,17,1,2,3,4,4,,,24,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
