Fall 2010  Top 10 Feeder Patterns,,,,,,,,,
Undergraduate Transfer,,,,,,,,,
Texas County,,Students,,,% Total,,,,
Harris,,280,,,17.1%,,,,
Brazos,,152,,,9.3%,,,,
Montgomery,,85,,,5.2%,,,,
Bexar,,81,,,5.0%,,,,
Tarrant,,81,,,5.0%,,,,
Fort Bend,,76,,,4.6%,,,,
Dallas,,67,,,4.1%,,,,
Collin,,49,,,3.0%,,,,
Travis,,47,,,2.9%,,,,
Williamson,,38,,,2.3%,,,,
State,Students,,,% Total,,,,,
Texas,1519,,,92.9%,,,,,
California,8,,,0.5%,,,,,
Louisiana,4,,,0.2%,,,,,
Kansas,3,,,0.2%,,,,,
Wyoming,3,,,0.2%,,,,,
New York,3,,,0.2%,,,,,
Arizona,2,,,0.1%,,,,,
Colorado,2,,,0.1%,,,,,
New Mexico,2,,,0.1%,,,,,
Connecticut,2,,,0.1%,,,,,
Country,,,Students,,,% Total,,,
United States,,,1565,,,95.7%,,,
Nepal,,,12,,,0.7%,,,
"Korea, Republic of",,,10,,,0.6%,,,
"China, People's Rep of",,,7,,,0.4%,,,
Viet Nam Socialist Repu,,,6,,,0.4%,,,
Bolivia,,,4,,,0.2%,,,
Ghana,,,2,,,0.1%,,,
Hong Kong,,,2,,,0.1%,,,
Mexico,,,2,,,0.1%,,,
Pakistan,,,2,,,0.0%,,,
