Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ADEV,,,,,,,,5,5,,,,,5,
,AGBL,5,5,9,,,19,,,,,,,,19,
,AGBU,,,1,6,,7,,2,2,,,,,9,
,AGCJ,6,3,7,6,,22,,,,,,,,22,
,AGEC,,5,13,14,,32,,4,4,1,1,,,37,
,AGLS,2,5,3,6,,16,,,,,,,,16,
,AGRO,1,3,9,2,,15,,,,1,1,,,16,
,AGSC,2,,7,3,,12,,,,,,,,12,
,AGSM,2,1,5,4,,12,,,,,,,,12,
,ALEC,,,,,,,2,2,4,2,2,,,6,
,ALED,2,2,6,30,,40,,,,,,,,40,
,ANBR,,,,,,,,,,,,,,,
,ANSC,20,17,23,30,1,91,,4,4,,,,,95,
,BAEN,5,6,6,4,,21,,2,2,,,,,23,
,BESC,3,5,22,33,,63,,,,,,,,63,
,BICH,8,2,4,7,,21,,3,3,4,4,,,28,
,BIOT,,,,,,,,1,1,,,,,1,
,CDEV,,,,1,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,1,2,2,1,,6,,,,,,,,6,
,ENST,,1,1,,,2,,,,,,,,2,
,ENTO,1,2,6,12,1,22,,4,4,3,3,,,29,
,FISC,,,,,,,,,,,,,,,
,FIVL,18,8,1,,,27,,,,,,,,27,
,FIVS,,,3,4,,7,,,,,,,,7,
,FLOR,,,1,,,1,,,,,,,,1,
,FORS,,1,,2,,3,1,1,2,,,,,5,
,FSTC,1,1,5,11,,18,,2,2,1,1,,,21,
,GENE,3,3,3,6,,15,1,3,4,1,1,,,20,
,HORT,,4,9,11,,24,,,,1,1,,,25,
,MEPS,,,,,,,,,,2,2,,,2,
,NRDV,,,,,,,,2,2,,,,,2,
,NUSC,12,8,18,33,1,72,,,,,,,,72,
,NUTR,,,,,,,,3,3,,,,,3,
,PLBR,,,,,,,,,,2,2,,,2,
,PLPA,,,,,,,,4,4,3,3,,,7,
,POSC,1,8,5,15,,29,,3,3,,,,,32,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,3,3,,,,,3,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
