Headcount by Major by Ethnic Origin by Gender Fall 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,24,40,2,2,5,12,4,4,,,2,,33,34,,,1,,71,92,163,
,COMG,1,10,,,2,2,,1,,,,,14,24,,1,,,17,38,55,
,COSC,30,279,,2,7,33,1,3,,,,5,,2,1,4,,1,39,329,368,
,COSL,13,159,2,4,10,27,1,2,,,,,,2,,2,,,26,196,222,
,ENDL,72,54,,1,24,22,3,1,,,,,,,5,2,,,104,80,184,
,ENDS,69,66,,3,15,21,1,3,,,1,,2,2,1,2,,,89,97,186,
,LAND,27,45,,1,4,9,4,,,,,,20,3,,3,,,55,61,116,
,LANL,16,12,1,1,9,7,,,,,,,,,1,,,,27,20,47,
,LDEV,7,15,,1,,4,,,,,,,2,11,,,,1,9,32,41,
,URPL,11,15,,1,1,1,,,,,,1,13,5,,,,1,25,24,49,
,URSC,16,38,2,7,11,13,1,3,,,,1,15,28,,1,,,45,91,136,
,USAR,8,22,,,7,5,,,,,,,,1,,1,,,15,29,44,
,VISL,39,43,1,3,6,11,1,2,,,1,,,,1,2,,,49,61,110,
,VIST,41,62,,2,6,11,2,4,,,,,6,10,1,,,1,56,90,146,
,Subtotal,374,860,8,28,107,178,18,23,,,4,7,105,122,10,18,1,4,627,"1,240","1,867",
Business Admin,ACCT,336,280,15,8,41,23,15,26,1,,2,2,14,9,3,3,,1,427,352,779,
,AGBU,3,3,,,,,,,,,,,,,,,,,3,3,6,
,BHNR,60,46,3,3,2,6,3,2,,,1,,,1,2,1,,,71,59,130,
,BUAD,642,663,23,21,126,116,36,42,,4,,2,13,27,15,13,1,2,856,890,"1,746",
,BUAG,4,5,,,,,,,,,,,,,,,,,4,5,9,
,EMBA,12,50,2,5,2,13,1,5,,,1,,1,2,,,,2,19,77,96,
,FINC,175,331,5,4,14,43,12,29,,1,1,2,4,14,4,2,1,,216,426,642,
,INFO,86,153,11,10,29,26,11,17,,1,,,2,5,1,2,,,140,214,354,
,MGMT,146,131,12,7,27,11,7,5,,1,1,,2,6,5,3,,,200,164,364,
,MISY,13,26,2,,3,4,2,,,,,,34,64,1,1,,,55,95,150,
,MKTG,287,103,10,,38,13,15,3,,,1,1,8,5,3,2,,,362,127,489,
,MLER,14,37,,,1,1,1,1,,,,1,,2,,,,,16,42,58,
,USBU,49,71,2,2,6,5,,4,1,,,,1,1,2,1,,,61,84,145,
,Subtotal,"1,827","1,899",85,60,289,261,103,134,2,7,7,8,79,136,36,28,2,5,"2,430","2,538","4,968",
Education,BIED,1,,,,7,1,,,,,,,2,,,,,,10,1,11,
,CPSY,11,4,6,2,7,6,3,1,,,,,1,,1,,1,,30,13,43,
,EDAD,81,62,28,18,31,20,2,,,,1,,1,,1,,1,1,146,101,247,
,EDCI,196,47,56,15,29,11,5,1,,,2,1,34,18,7,,,2,329,95,424,
,EDHL,293,25,11,1,65,8,13,2,,,1,,,,4,,,,387,36,423,
,EDIS,593,32,14,2,78,5,4,,1,,1,1,,,11,1,1,,703,41,744,
,EDKI,279,166,7,5,57,38,9,4,,,,2,2,1,7,3,,,361,219,580,
,EDSM,40,102,5,10,9,12,,,,,,,1,,,2,1,,56,126,182,
,EDTC,18,4,1,,3,1,,,,,,,5,2,1,,,,28,7,35,
,EHRD,54,29,20,5,17,7,6,4,,,,,16,8,1,,1,,115,53,168,
,EPSY,59,14,6,2,23,6,3,1,,,,,24,8,1,,,1,116,32,148,
,HEED,21,3,7,2,2,2,4,,,,1,,2,1,1,,,1,38,9,47,
,HLTH,190,13,10,,30,4,4,,,,4,,,,2,,,,240,17,257,
,HRDL,76,27,2,5,12,9,5,3,,,,,,1,2,,,,97,45,142,
,HRDV,63,22,2,1,11,4,1,1,,,,,,1,,,,1,77,30,107,
,INST,677,28,10,1,87,8,15,2,,,2,,3,,4,1,,,798,40,838,
,ISNC,,2,,,,,,,,,,,,,,,,,,2,2,
,KINE,139,104,5,6,19,13,2,4,,,2,,9,19,1,,,,177,146,323,
,NUTR,1,,,,,,,,,,,,,,,,,,1,,1,
,PHED,,1,,,,,,,,,,,,,,,,,,1,1,
,SPED,12,2,2,,4,,1,,,,,,,,1,,,,20,2,22,
,SPMT,67,123,2,7,9,13,1,3,,,,,1,3,1,1,,,81,150,231,
,SPSY,21,5,5,,6,3,4,,,,,,3,,,1,,,39,9,48,
,TCMG,1,22,,1,2,3,1,6,,,,,,,1,,,,5,32,37,
,TCML,2,31,,,4,12,,2,,,,1,,,,,,,6,46,52,
,USEH,2,,,,,,,,,,,,,,,,,,2,,2,
,Subtotal,"2,897",868,199,83,512,186,83,34,1,,14,5,104,62,47,9,5,6,"3,862","1,253","5,115",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,
