Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,BIED,,,,,,,,1,1,,,,,1,
,CPSY,,,,,,,,3,3,12,12,,,15,
,EDAD,,,,,,,4,46,50,93,93,,,143,
,EDCI,,,,,,,31,119,150,93,93,,,243,
,EDHL,53,101,128,35,1,318,,,,,,,,318,
,EDIS,212,207,156,49,1,625,,,,,,,,625,
,EDKI,119,109,149,68,,445,,,,,,,,445,
,EDSM,35,46,50,10,1,142,,,,,,,,142,
,EDTC,,,,,,,,22,22,,,,,22,
,EHRD,,,,,,,2,49,51,32,32,,,83,
,EPSY,,,,,,,1,33,34,39,39,,,73,
,HEED,,,,,,,,18,18,6,6,,,24,
,HLTH,,,22,181,,203,,,,,,,,203,
,HRDL,5,10,49,39,,103,,,,,,,,103,
,HRDV,,,11,74,,85,,,,,,,,85,
,INST,2,8,174,521,,705,,,,,,,,705,
,ISNC,,,,2,,2,,,,,,,,2,
,KINE,,,10,176,3,189,,29,29,25,25,,,243,
,NUTR,,,,,,,,1,1,,,,,1,
,PHED,,,,,,,,1,1,,,,,1,
,SPED,,,,,,,,14,14,,,,,14,
,SPMT,,2,52,111,2,167,,23,23,,,,,190,
,SPSY,,,,,,,,6,6,20,20,,,26,
,TCMG,,,1,22,,23,,,,,,,,23,
,TCML,1,5,12,15,,33,,,,,,,,33,
,USEH,,,1,1,,2,,,,,,,,2,
,Subtotal,427,488,815,"1,304",8,"3,042",38,365,403,320,320,,,"3,765",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
