Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,AMST,6,,3,2,,11,,,,,,,,11,
,ANTH,16,29,32,46,,123,2,49,51,42,42,,,216,
,CLSS,1,2,4,4,,11,,,,,,,,11,
,COMM,62,135,182,238,,617,2,9,11,25,25,,,653,
,ECON,39,42,93,154,,328,,13,13,4,4,,,345,
,ENGL,63,104,137,182,1,487,2,17,19,42,42,,,548,
,FREN,2,3,2,4,,11,,,,,,,,11,
,GERM,,,1,1,1,3,,,,,,,,3,
,HISP,,,,,,,,1,1,8,8,,,9,
,HIST,64,112,160,242,3,581,1,20,21,36,36,,,638,
,INTS,82,97,99,155,1,434,,,,,,,,434,
,MODL,,,,,,,,5,5,,,,,5,
,MUSC,2,5,5,7,,19,,,,,,,,19,
,NRSC,,,,,,,,,,1,1,,,1,
,NUTR,,,,,,,,1,1,,,,,1,
,PERF,,,,,,,,5,5,,,,,5,
,PHIL,9,7,15,25,,56,,12,12,6,6,,,74,
,POLS,94,110,157,184,2,547,,13,13,17,17,,,577,
,PSYC,89,177,250,311,1,828,,32,32,33,33,,,893,
,RUSS,,4,3,4,,11,,,,,,,,11,
,SOCI,24,36,96,84,,240,1,8,9,21,21,,,270,
,SPAN,5,10,12,22,,49,,,,,,,,49,
,TCMS,22,22,26,35,,105,,,,,,,,105,
,THAR,3,8,9,11,,31,,,,,,,,31,
,USLA,,,3,5,,8,,,,,,,,8,
,WGST,,,1,3,,4,,,,,,,,4,
,Subtotal,583,903,"1,290","1,719",9,"4,504",8,185,193,235,235,,,"4,932",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
