Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Gabon Republic,4,,,,4,
Georgia (C.I.S.),,1,1,,2,
Germany,8,10,6,,24,
Ghana,4,9,,,13,
Greece,,,3,,3,
Grenada,,,1,,1,
Guatemala,7,4,3,,14,
Honduras,10,1,3,,14,
Hong Kong,11,2,4,,17,
Hungary,1,,,,1,
India,37,675,208,,920,
Indonesia,11,14,7,,32,
Iran,,50,71,,121,
Iraq,3,5,,,8,
Ireland,,1,,,1,
Israel,2,,,,2,
Italy,1,3,5,,9,
Jamaica,4,1,3,,8,
Japan,3,9,18,,30,
Jordan,,3,7,,10,
Kazakhstan,17,4,1,,22,
Kenya,1,3,4,,8,
"Korea, Republic of",41,140,309,,490,
Kuwait,3,2,3,,8,
Latvia,1,,,,1,
Lebanon,1,5,8,,14,
Libya,,4,1,,5,
Lithuania,1,,,,1,
Macao,1,1,,,2,
Madagascar,1,,,,1,
Malaysia,21,6,6,,33,
Mali,1,,,,1,
Mauritius,,1,,,1,
Mexico,39,27,53,,119,
Mongolia,1,1,,,2,
Morocco,1,1,2,,4,
Nepal,31,11,10,,52,
Netherlands,3,1,,,4,
New Zealand,3,1,2,,6,
Nicaragua,2,2,,,4,
Nigeria,10,20,10,,40,
Norway,1,3,1,,5,
Oman,,2,3,,5,
Other Foreign or US,13,1,,,14,
Page 161,,,,,,
