Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,1,,1,,2,,,,,,,,2,
,CLGE,1,,1,,,2,,,,,,,,2,
,GEOG,,1,1,1,,3,,1,1,1,1,,,5,
,GEPL,,1,,,,1,,,,,,,,1,
,OCNG,,,,,,,,,,,,,,,
,Subtotal,1,3,2,2,,8,,1,1,1,1,,,10,
Liberal Arts,ANTH,2,,,1,,3,,1,1,1,1,,,5,
,CLLA,1,2,3,5,,11,,,,,,,,11,
,COMM,3,4,6,4,,17,,,,,,,,17,
,ECON,1,,4,3,,8,,,,,,,,8,
,ENGL,1,3,1,6,,11,1,1,2,1,1,,,14,
,EURO,,,,,,,,,,,,,,,
,HISP,1,,,,,1,,,,,,,,1,
,HIST,1,3,1,8,,13,,,,1,1,,,14,
,PHUM,,1,,,,1,,,,,,,,1,
,POLS,5,,3,2,,10,,,,,,,,10,
,PRFM,,,1,,,1,,,,,,,,1,
,PSYC,4,2,4,10,1,21,,,,,,,,21,
,SOCI,,1,2,4,,7,,2,2,,,,,9,
,Subtotal,19,16,25,43,1,104,1,4,5,3,3,,,112,
Science,BIOL,11,7,12,9,1,40,,1,1,,,,,41,
,CHEM,3,1,1,2,,7,,,,1,1,,,8,
,CLSC,,,,,,,,,,,,,,,
,MATH,2,3,1,2,,8,,1,1,,,,,9,
,PHYS,,1,,2,,3,,1,1,2,2,,,6,
,STAT,,,,,,,,,,,,,,,
,Subtotal,16,12,14,15,1,58,,3,3,3,3,,,64,
Veterinary Medicine,CLVM,15,7,4,4,,30,,1,1,,,1,1,32,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,15,7,4,4,,30,,1,1,,,1,1,32,
General Studies,GEST,58,28,7,,,93,,,,,,,,93,
,Subtotal,58,28,7,,,93,,,,,,,,93,
Other - Special Populations,CLMD,,,,,,,1,,1,,,,,1,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,1,,1,,,,,1,
University,Total,207,128,140,159,3,637,5,50,55,20,20,1,1,713,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
