Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,RHEN,,2,1,3,,6,,,,,,,,6,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,348,216,268,450,6,"1,288",,105,105,31,31,,,"1,424",
G. Bush School of Govt,CAIA,,,,,,,6,,6,,,,,6,
,CHLS,,,,,,,,,,,,,,,
,CNPM,,,,,,,2,,2,,,,,2,
,INTA,,,,,,,,11,11,,,,,11,
,PSAA,,,,,,,,15,15,,,,,15,
,Subtotal,,,,,,,8,26,34,,,,,34,
Geosciences,ATMO,,,,,,,,1,1,,,,,1,
,ENGS,1,3,4,11,,19,,,,,,,,19,
,ENST,2,4,7,5,,18,,,,,,,,18,
,GEOG,1,1,1,5,,8,,3,3,1,1,,,12,
,GEOL,4,3,8,9,,24,,4,4,1,1,,,29,
,GEOP,4,1,,3,,8,,1,1,,,,,9,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,8,1,6,6,1,22,,,,,,,,22,
,OCNG,,,,,,,,3,3,,,,,3,
,SPSG,,,,1,,1,,,,,,,,1,
,USGE,,,,2,,2,,,,,,,,2,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,20,13,26,42,1,102,,12,12,2,2,,,116,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
