Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,RHEN,,1,,,,1,,,,,,,,1,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,54,28,22,41,1,146,,12,12,3,3,,,161,
G. Bush School of Govt,CAIA,,,,,,,1,,1,,,,,1,
,CHLS,,,,,,,2,,2,,,,,2,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,3,3,,,,,3,
,PSAA,,,,,,,,3,3,,,,,3,
,Subtotal,,,,,,,3,6,9,,,,,9,
Geosciences,ATMO,,,,,,,,,,,,,,,
,ENGS,1,,1,,,2,,,,,,,,2,
,ENST,,1,1,1,,3,,,,,,,,3,
,GEOG,,,,,,,,,,1,1,,,1,
,GEOL,,1,,,,1,,,,,,,,1,
,GEOP,,,,,,,,,,,,,,,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,1,,1,,2,,,,,,,,2,
,OCNG,,,,,,,,,,,,,,,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,,,,,1,
,Subtotal,1,3,2,2,,8,,1,1,1,1,,,10,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
