Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ADEV,,,,,,,,,,,,,,,
,AGBL,1,1,1,,,3,,,,,,,,3,
,AGBU,,,2,,,2,,23,23,,,,,25,
,AGCJ,,1,,1,,2,,,,,,,,2,
,AGEC,1,,,,,1,1,34,35,53,53,,,89,
,AGLS,,,1,1,,2,,,,,,,,2,
,AGRO,,,,,,,,2,2,4,4,,,6,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,,,1,,1,,,,,,,,1,
,ALEC,,,,,,,1,4,5,3,3,,,8,
,ALED,,1,,2,,3,,,,,,,,3,
,ANBR,,,,,,,,,,1,1,,,1,
,ANSC,1,,1,1,,3,,1,1,1,1,,,5,
,BAEN,,,,1,,1,,27,27,17,17,,,45,
,BESC,,,1,,,1,,,,,,,,1,
,BICH,4,,1,2,,7,,26,26,20,20,,,53,
,BIOT,,,,,,,,14,14,,,,,14,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,1,,1,,3,3,10,10,,,14,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,3,3,3,3,,,6,
,FSTC,2,,,,,2,,8,8,12,12,,,22,
,GENE,1,1,1,1,,4,,4,4,5,5,,,13,
,HORT,,,,2,,2,1,9,10,10,10,,,22,
,MEPS,,,,,,,,,,9,9,,,9,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,,2,1,,3,,,,,,,,3,
,NUTR,,,,,,,,8,8,8,8,,,16,
,PLBR,,,,,,,,8,8,12,12,,,20,
,PLPA,,,,,,,,7,7,9,9,,,16,
,POSC,,1,,,,1,,2,2,8,8,,,11,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,3,3,1,1,,,4,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
