Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,13,7,20,38,,78,1,11,12,27,27,,,117,
Engineering,AERL,6,5,,,,11,,,,,,,,11,
,AERO,,2,4,6,,12,,1,1,3,3,,,16,
,BIOT,,,,,,,,,,,,,,,
,BMEL,15,6,1,,,22,,,,,,,,22,
,BMEN,,8,6,14,,28,,6,6,2,2,,,36,
,CECL,4,2,4,,,10,,,,,,,,10,
,CECN,,,3,8,,11,,2,2,2,2,,,15,
,CEEL,3,,2,1,,6,,,,,,,,6,
,CEEN,,,,5,,5,,2,2,,,,,7,
,CHEL,11,6,4,1,,22,,,,,,,,22,
,CHEN,,7,13,25,,45,,2,2,,,,,47,
,CPSC,1,,6,3,,10,,6,6,6,6,,,22,
,CPSL,6,3,1,,1,11,,,,,,,,11,
,CVEL,4,1,,,,5,,,,,,,,5,
,CVEN,,5,6,20,,31,,7,7,6,6,,,44,
,ELEL,17,8,6,,,31,,,,,,,,31,
,ELEN,,4,21,27,,52,,10,10,7,7,,,69,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,1,12,,13,,,,,,,,13,
,ENTL,2,,6,,,8,,,,,,,,8,
,HLPH,,,,,,,,2,2,,,,,2,
,IDIL,,,1,,,1,,,,,,,,1,
,IDIS,,,3,12,,15,,,,,,,,15,
,INEL,4,4,3,1,,12,,,,,,,,12,
,INEN,1,2,8,16,,27,,4,4,1,1,,,32,
,ITDE,,,,,,,,,,,,,,,
,MEEL,5,2,1,2,,10,,,,,,,,10,
,MEEN,,5,6,20,,31,,8,8,6,6,,,45,
,MSEN,,,,,,,,3,3,,,,,3,
,NUEL,2,,1,,,3,,,,,,,,3,
,NUEN,,,2,4,,6,,2,2,1,1,,,9,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,,3,,3,,,,1,1,,,4,
,PETE,,3,1,9,,13,,12,12,1,1,,,26,
,PETL,9,4,7,4,,24,,,,,,,,24,
,RHEL,2,,,,,2,,,,,,,,2,
