Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,7,7,14,14,,,21,
,CLGE,,,,,,,,,,,,,,,
,GEOG,,,,2,,2,,9,9,18,18,,,29,
,GEPL,6,2,7,5,1,21,2,20,22,24,24,,,67,
,OCNG,,,,,,,,9,9,24,24,,,33,
,Subtotal,6,2,7,7,1,23,2,45,47,80,80,,,150,
Liberal Arts,ANTH,,,1,,,1,,8,8,7,7,,,16,
,CLLA,,4,3,1,,8,,,,,,,,8,
,COMM,,1,,1,,2,,2,2,10,10,,,14,
,ECON,1,,7,8,,16,,43,43,47,47,,,106,
,ENGL,,1,,1,,2,,3,3,20,20,,,25,
,EURO,,,,1,,1,,,,,,,,1,
,HISP,,,,,,,,5,5,3,3,,,8,
,HIST,,,1,,,1,,2,2,2,2,,,5,
,PHUM,,1,,,,1,,1,1,,,,,2,
,POLS,1,,,1,,2,,1,1,9,9,,,12,
,PRFM,,,,,,,,1,1,,,,,1,
,PSYC,1,1,1,3,,6,,5,5,2,2,,,13,
,SOCI,,,,2,,2,,2,2,7,7,,,11,
,Subtotal,3,8,13,18,,42,,73,73,107,107,,,222,
Science,BIOL,3,1,1,4,,9,,18,18,29,29,,,56,
,CHEM,,1,4,1,,6,,62,62,77,77,,,145,
,CLSC,,,,,,,,,,,,,,,
,MATH,4,,4,3,,11,,18,18,50,50,,,79,
,PHYS,1,1,4,1,,7,,42,42,47,47,,,96,
,STAT,,,,,,,1,21,22,40,40,,,62,
,Subtotal,8,3,13,9,,33,1,161,162,243,243,,,438,
Veterinary Medicine,CLVM,2,1,1,,,4,,4,4,2,2,,,10,
,VIBS,,,,,,,,11,11,10,10,,,21,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,1,1,5,5,,,6,
,VTPB,,,,,,,1,4,5,5,5,,,10,
,VTPP,,,,,,,,4,4,6,6,,,10,
,Subtotal,2,1,1,,,4,1,24,25,28,28,,,57,
General Studies,GEST,43,9,,,,52,,,,,,,,52,
,Subtotal,43,9,,,,52,,,,,,,,52,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SABX,1,12,29,18,,60,18,,18,,,,,78,
,SRPH,,,,,,,2,,2,,,,,2,
,Subtotal,1,12,29,18,,60,20,,20,,,,,80,
University,Total,90,100,192,235,2,619,34,"1,957","1,991","1,674","1,674",,,"4,284",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
