Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,2,,,1,,3,,1,1,1,1,,,5,
,CLSS,,,,,,,,,,,,,,,
,COMM,3,3,6,3,,15,,,,,,,,15,
,ECON,1,,4,3,,8,,,,,,,,8,
,ENGL,1,3,1,6,,11,1,1,2,1,1,,,14,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,1,3,1,8,,13,,,,1,1,,,14,
,INTS,1,2,3,5,,11,,,,,,,,11,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,1,,,,1,,,,,,,,1,
,POLS,5,,3,2,,10,,,,,,,,10,
,PSYC,4,2,4,10,1,21,,,,,,,,21,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,1,2,4,,7,,2,2,,,,,9,
,SPAN,1,,,,,1,,,,,,,,1,
,TCMS,,1,,1,,2,,,,,,,,2,
,THAR,,,1,,,1,,,,,,,,1,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,19,16,25,43,1,104,1,4,5,3,3,,,112,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
