Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,RHEN,,,,,,,,,,,,,,,
,SENG,,,,,,,,9,9,,,,,9,
,USEN,,,,,,,,,,,,,,,
,Subtotal,14,49,96,137,1,297,5,"1,067","1,072",819,819,,,"2,188",
G. Bush School of Govt,CAIA,,,,,,,1,,1,,,,,1,
,CHLS,,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,4,4,,,,,4,
,PSAA,,,,,,,,10,10,,,,,10,
,Subtotal,,,,,,,1,14,15,,,,,15,
Geosciences,ATMO,,,,,,,,7,7,14,14,,,21,
,ENGS,,,,,,,,,,,,,,,
,ENST,,,,1,,1,,,,,,,,1,
,GEOG,,,,1,,1,,4,4,14,14,,,19,
,GEOL,2,1,5,,,8,2,11,13,13,13,,,34,
,GEOP,4,1,2,5,1,13,,7,7,9,9,,,29,
,GEOS,,,,,,,,1,1,,,,,1,
,MARB,,,,,,,,,,2,2,,,2,
,METR,,,,,,,,,,,,,,,
,OCNG,,,,,,,,9,9,22,22,,,31,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,6,6,6,6,,,12,
,Subtotal,6,2,7,7,1,23,2,45,47,80,80,,,150,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
