Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,140,70,15,2,,227,,,,,,,,227,
,AERO,2,34,70,156,1,263,1,48,49,26,26,,,338,
,BIOT,,,,,,,,1,1,,,,,1,
,BMEL,105,46,4,,,155,,,,,,,,155,
,BMEN,,31,29,76,1,137,,19,19,15,15,,,171,
,CECL,50,29,10,3,1,93,,,,,,,,93,
,CECN,,12,21,43,,76,,9,9,3,3,,,88,
,CEEL,34,14,3,,,51,,,,,,,,51,
,CEEN,1,8,9,20,,38,,3,3,3,3,,,44,
,CHEL,111,49,15,4,,179,,,,,,,,179,
,CHEN,1,36,93,200,1,331,,10,10,12,12,,,353,
,CPSC,1,17,24,83,,125,,31,31,28,28,,,184,
,CPSL,72,31,25,6,,134,,,,,,,,134,
,CVEL,154,57,6,3,,220,,,,,,,,220,
,CVEN,4,77,128,255,2,466,,81,81,22,22,,,569,
,ELEL,117,59,19,8,1,204,,,,,,,,204,
,ELEN,2,24,49,103,2,180,1,42,43,23,23,,,246,
,ENGR,,,,,,,,,,3,3,,,3,
,ENSM,,,,,,,,9,9,,,,,9,
,ENTC,1,,15,164,,180,,,,,,,,180,
,ENTL,10,29,38,14,1,92,,,,,,,,92,
,HLPH,,,,,,,,9,9,,,,,9,
,IDIL,19,52,32,11,,114,,,,,,,,114,
,IDIS,,5,70,203,,278,,20,20,,,,,298,
,INEL,53,48,33,10,1,145,,,,,,,,145,
,INEN,1,32,74,135,1,243,,17,17,7,7,,,267,
,ITDE,,,,,,,,,,2,2,,,2,
,MEEL,232,76,13,4,2,327,,,,,,,,327,
,MEEN,5,78,163,328,1,575,1,63,64,25,25,,,664,
,MSEN,,,,,,,,6,6,8,8,,,14,
,NUEL,42,16,8,,,66,,,,,,,,66,
,NUEN,2,20,34,63,,119,,42,42,24,24,,,185,
,OCEL,21,16,6,2,,45,,,,,,,,45,
,OCEN,1,10,15,53,,79,,16,16,1,1,,,96,
,PETE,,6,20,130,2,158,,49,49,6,6,,,213,
,PETL,98,92,76,27,3,296,,,,,,,,296,
,RHEL,12,1,1,2,,16,,,,,,,,16,
,RHEN,1,9,9,11,,30,,,,,,,,30,
,SENG,,,,,,,,1,1,,,,,1,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
