Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ADEV,,,,,,,,,,,,,,,
,AGBL,,,,,,,,,,,,,,,
,AGBU,,,,,,,,,,,,,,,
,AGCJ,,1,1,1,,3,,,,,,,,3,
,AGEC,,,2,1,,3,,,,,,,,3,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,,,,,,,1,1,,,,,1,
,AGSC,,1,,,,1,,,,,,,,1,
,AGSM,,,,1,,1,,,,,,,,1,
,ALEC,,,,,,,,,,,,,,,
,ALED,,1,,3,,4,,,,,,,,4,
,ANBR,,,,,,,,,,,,,,,
,ANSC,,2,2,1,,5,,,,,,,,5,
,BAEN,,,1,,,1,,,,,,,,1,
,BESC,,,,2,,2,,,,,,,,2,
,BICH,,,,,,,,1,1,,,,,1,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,,,,,,
,FSTC,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,HORT,,,1,2,,3,,,,,,,,3,
,MEPS,,,,,,,,,,,,,,,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,,1,1,,2,,,,,,,,2,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
,POSC,,1,,,,1,,,,,,,,1,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
