Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,FORS,2,2,7,9,,20,1,4,5,2,2,,,27,
,FSTC,6,6,18,48,,78,,18,18,2,2,,,98,
,GENE,22,7,13,23,1,66,1,13,14,14,14,,,94,
,HORT,7,19,45,64,1,136,,10,10,4,4,,,150,
,MEPS,,,,,,,,3,3,4,4,,,7,
,NRDV,,,,,,,2,22,24,,,,,24,
,NUSC,51,38,76,142,4,311,,,,,,,,311,
,NUTR,,,,,,,1,22,23,8,8,,,31,
,PLBR,,,,,,,,15,15,7,7,,,22,
,PLPA,,,,,,,,4,4,4,4,,,8,
,POSC,11,29,27,63,,130,,9,9,,,,,139,
,PPRO,,,,,,,,2,2,,,,,2,
,PREP,,,,,,,,6,6,6,6,,,12,
,PSSC,1,1,4,2,,8,,,,,,,,8,
,RENR,3,6,15,12,,36,,,,,,,,36,
,RLEM,5,15,20,17,,57,2,18,20,10,10,,,87,
,RPTS,14,43,99,95,,251,,24,24,9,9,,,284,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,11,11,9,9,,,20,
,SPSA,3,4,4,18,,29,,,,,,,,29,
,TOXI,,,,,,,,,,,,,,,
,USAL,,7,38,85,,130,,,,,,,,130,
,WFSC,41,51,81,115,4,292,1,38,39,31,31,,,362,
,WISC,,,,,,,,11,11,,,,,11,
,WMHS,,,,,,,,9,9,1,1,,,10,
,Subtotal,509,705,"1,210","1,726",26,"4,176",18,505,523,244,244,,,"4,943",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
