Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,1,,,,,1,,1,1,,,,,2,
,CLGE,3,1,,,,4,,,,,,,,4,
,GEOG,2,,,2,,4,,,,2,2,,,6,
,GEPL,,2,1,1,,4,,4,4,,,,,8,
,OCNG,,,,,,,,2,2,1,1,,,3,
,Subtotal,6,3,1,3,,13,,7,7,3,3,,,23,
Liberal Arts,ANTH,,1,1,,,2,,,,2,2,,,4,
,CLLA,4,6,1,5,,16,,,,,,,,16,
,COMM,2,6,7,5,,20,,,,,,,,20,
,ECON,6,5,12,9,,32,1,,1,,,,,33,
,ENGL,5,,6,6,,17,,,,1,1,,,18,
,EURO,,,2,1,,3,,,,,,,,3,
,HISP,,,1,,,1,,,,,,,,1,
,HIST,2,1,2,3,1,9,,,,,,,,9,
,PHUM,1,,1,1,,3,,,,,,,,3,
,POLS,5,5,8,8,,26,,1,1,1,1,,,28,
,PRFM,1,,2,1,,4,,,,,,,,4,
,PSYC,10,12,25,15,,62,,4,4,4,4,,,70,
,SOCI,,3,5,2,,10,,,,2,2,,,12,
,Subtotal,36,39,73,56,1,205,1,5,6,10,10,,,221,
Science,BIOL,60,36,48,71,,215,,3,3,1,1,,,219,
,CHEM,12,1,4,7,,24,,7,7,3,3,,,34,
,CLSC,,,,,,,,,,,,,,,
,MATH,10,3,4,5,,22,1,2,3,1,1,,,26,
,PHYS,3,1,1,1,,6,,2,2,3,3,,,11,
,STAT,,,,,,,5,13,18,1,1,,,19,
,Subtotal,85,41,57,84,,267,6,27,33,9,9,,,309,
Veterinary Medicine,CLVM,61,30,15,44,1,151,,3,3,,,14,14,168,
,VIBS,,,,,,,,,,1,1,,,1,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,2,2,1,1,,,3,
,VTPP,,,,,,,,,,2,2,,,2,
,Subtotal,61,30,15,44,1,151,,5,5,4,4,14,14,174,
General Studies,GEST,133,71,20,,,224,,,,,,,,224,
,Subtotal,133,71,20,,,224,,,,,,,,224,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,483,322,393,566,4,"1,768",9,193,202,108,108,14,14,"2,092",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
