Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,,,,,,,,,,,,,,
,CLSS,,,,,,,,,,,,,,,
,COMM,1,3,,1,,5,,,,,,,,5,
,ECON,1,1,,,,2,,,,,,,,2,
,ENGL,,1,1,3,,5,,,,,,,,5,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,1,1,,2,,,,,,,,2,
,INTS,,,1,,,1,,,,,,,,1,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,,1,,,1,,,,,,,,1,
,POLS,,2,,,,2,,,,,,,,2,
,PSYC,,,4,,,4,,,,,,,,4,
,RUSS,,,,,,,,,,,,,,,
,SOCI,1,1,,,,2,,,,2,2,,,4,
,SPAN,,,,,,,,,,,,,,,
,TCMS,,,,,,,,,,,,,,,
,THAR,,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,3,8,8,5,,24,,,,2,2,,,26,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
