Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,CLGE,,1,,1,,2,,,,,,,,2,
,GEOG,1,,,,,1,,,,,,,,1,
,GEPL,,,,,,,,,,,,,,,
,OCNG,,,,,,,,,,,,,,,
,Subtotal,1,1,,1,,3,,,,,,,,3,
Liberal Arts,ANTH,,,,,,,,,,,,,,,
,CLLA,,,1,,,1,,,,,,,,1,
,COMM,1,3,,1,,5,,,,,,,,5,
,ECON,1,1,,,,2,,,,,,,,2,
,ENGL,,1,1,3,,5,,,,,,,,5,
,EURO,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,1,1,,2,,,,,,,,2,
,PHUM,,,1,,,1,,,,,,,,1,
,POLS,,2,,,,2,,,,,,,,2,
,PRFM,,,,,,,,,,,,,,,
,PSYC,,,4,,,4,,,,,,,,4,
,SOCI,1,1,,,,2,,,,2,2,,,4,
,Subtotal,3,8,8,5,,24,,,,2,2,,,26,
Science,BIOL,3,,2,2,,7,,,,,,,,7,
,CHEM,1,,,,,1,,,,1,1,,,2,
,CLSC,,,,,,,,,,,,,,,
,MATH,1,,1,,,2,,,,,,,,2,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,,,,,,,,,
,Subtotal,5,,3,2,,10,,,,2,2,,,12,
Veterinary Medicine,CLVM,4,2,2,1,,9,,,,,,1,1,10,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,4,2,2,1,,9,,,,,,1,1,10,
General Studies,GEST,7,5,,,,12,,,,,,,,12,
,Subtotal,7,5,,,,12,,,,,,,,12,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,25,34,30,59,,148,1,11,12,10,10,1,1,171,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
