Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,8,1,6,6,1,22,,1,1,,,,,23,
,CLGE,1,3,4,13,,21,,,,,,,,21,
,GEOG,3,5,8,11,,27,,3,3,1,1,,,31,
,GEPL,8,4,8,12,,32,,5,5,1,1,,,38,
,OCNG,,,,,,,,3,3,,,,,3,
,Subtotal,20,13,26,42,1,102,,12,12,2,2,,,116,
Liberal Arts,ANTH,11,4,9,8,,32,,4,4,3,3,,,39,
,CLLA,21,32,45,61,,159,,,,,,,,159,
,COMM,23,23,27,38,,111,,2,2,5,5,,,118,
,ECON,8,6,20,26,,60,,2,2,,,,,62,
,ENGL,15,24,31,37,,107,,,,11,11,,,118,
,EURO,,3,1,1,,5,,,,,,,,5,
,HISP,1,,13,22,,36,1,8,9,12,12,,,57,
,HIST,8,22,31,35,,96,,4,4,4,4,,,104,
,PHUM,1,3,2,5,,11,,2,2,2,2,,,15,
,POLS,24,21,30,45,,120,,2,2,1,1,,,123,
,PRFM,7,2,3,13,,25,,,,,,,,25,
,PSYC,34,50,81,90,,255,,7,7,10,10,,,272,
,SOCI,10,7,36,36,,89,,16,16,17,17,,,122,
,Subtotal,163,197,329,417,,"1,106",1,47,48,65,65,,,"1,219",
Science,BIOL,127,62,82,76,1,348,,1,1,4,4,,,353,
,CHEM,20,10,9,9,,48,,10,10,7,7,,,65,
,CLSC,,,1,2,,3,,,,,,,,3,
,MATH,14,16,9,16,,55,,7,7,,,,,62,
,PHYS,17,3,4,3,,27,,6,6,6,6,,,39,
,STAT,,,,,,,2,2,4,1,1,,,5,
,Subtotal,178,91,105,106,1,481,2,26,28,18,18,,,527,
Veterinary Medicine,CLVM,134,70,46,61,,311,,,,,,49,49,360,
,VIBS,,,,,,,,1,1,,,,,1,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,1,1,,,1,
,VTPB,,,,,,,,1,1,1,1,,,2,
,VTPP,,,,,,,,1,1,,,,,1,
,Subtotal,134,70,46,61,,311,,3,3,2,2,49,49,365,
General Studies,GEST,534,343,54,1,,932,,,,,,,,932,
,Subtotal,534,343,54,1,,932,,,,,,,,932,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,1,,1,,,,,1,
,Subtotal,,,,,,,1,,1,,,,,1,
University,Total,"1,737","1,270","1,366","1,835",11,"6,219",25,448,473,279,279,49,49,"7,020",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
