Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,1,1,,,1,
,CLGE,,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1,
,GEPL,,,,,,,,1,1,,,,,1,
,OCNG,,,,,,,,1,1,,,,,1,
,Subtotal,,,,,,,,2,2,2,2,,,4,
Liberal Arts,ANTH,,,1,,,1,1,,1,1,1,,,3,
,CLLA,,,,,,,,,,,,,,,
,COMM,,,1,,,1,,,,,,,,1,
,ECON,,1,1,,,2,,,,,,,,2,
,ENGL,1,,1,,,2,,,,,,,,2,
,EURO,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,,,,,,,2,2,,,2,
,PHUM,,,,,,,,2,2,,,,,2,
,POLS,2,2,1,,,5,,,,,,,,5,
,PRFM,,,1,,,1,,,,,,,,1,
,PSYC,2,1,,1,,4,,,,,,,,4,
,SOCI,,1,,,,1,,,,1,1,,,2,
,Subtotal,5,5,6,1,,17,1,2,3,4,4,,,24,
Science,BIOL,,,,,,,,,,,,,,,
,CHEM,1,,1,,,2,,,,,,,,2,
,CLSC,,,,,,,,,,,,,,,
,MATH,,1,,,,1,1,,1,,,,,2,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,1,2,3,,,,,3,
,Subtotal,1,1,1,,,3,2,2,4,1,1,,,8,
Veterinary Medicine,CLVM,1,,,,,1,,,,,,7,7,8,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,1,,,,,1,,,,,,7,7,8,
General Studies,GEST,12,,1,,,13,,,,,,,,13,
,Subtotal,12,,1,,,13,,,,,,,,13,
Other - Special Populations,CLMD,,,,,,,1,,1,,,,,1,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SABX,,,1,1,,2,,,,,,,,2,
,SRPH,,,,,,,1,,1,,,,,1,
,Subtotal,,,1,1,,2,2,,2,,,,,4,
University,Total,27,9,14,8,,58,8,28,36,23,23,7,7,124,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
