Headcount by Major by Level by Entry Status Fall 2010,,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Readmitted,Continuing,,
Engineering,AERL,193,7,1,125,,,,,,,,,,,326,
,AERO,,,2,347,1,26,,47,15,,48,,,,486,
,BIOT,,,,,,,,1,,,,,,,1,
,BMEL,168,,,70,,,,,,,,,,,238,
,BMEN,,2,,204,,18,,27,7,,33,,,,291,
,CECL,76,14,1,69,,,,,,,,,,,160,
,CECN,,,1,123,1,39,,31,9,,29,,,,233,
,CEEL,58,11,,23,,,,,,,,,,,92,
,CEEN,,,,64,,20,,37,5,,20,,,,146,
,CHEL,177,11,,71,,,,,,,,,,,259,
,CHEN,,2,2,492,,15,,37,9,,63,,,,620,
,CPSC,,,1,177,,46,,108,10,,75,,,,417,
,CPSL,92,17,2,87,,,,,,,,,,,198,
,CVEL,209,11,3,82,,,,,,,,,,,305,
,CVEN,1,9,4,626,,89,1,144,29,1,99,,,,"1,003",
,ELEL,170,40,3,138,,,,,,,,,,,351,
,ELEN,,,,344,1,97,1,149,34,,181,,,,807,
,ENGR,,,,,,,,,,,5,,,,5,
,ENSM,,,,,,4,,11,,,,,,,15,
,ENTC,,,3,244,,,,,,,,,,,247,
,ENTL,16,14,6,107,,,,,,,,,,,143,
,HLPH,,,,,,4,,12,,,,,,,16,
,IDIL,12,24,6,97,,,,,,,,,,,139,
,IDIS,,1,5,365,,14,,11,,,,,,,396,
,INEL,68,45,5,113,,,,,,,,,,,231,
,INEN,,3,2,403,,76,1,124,9,,50,,,,668,
,ITDE,,,,,,,,,,,3,,,,3,
,MEEL,274,20,1,132,,,,,,,,,,,427,
,MEEN,,,2,733,4,46,,177,32,,151,,,,"1,145",
,MSEN,,,,,,20,,11,19,,32,,,,82,
,NUEL,63,6,1,33,,,,,,,,,,,103,
,NUEN,,,,157,,28,,41,10,,35,,,,271,
,OCEL,23,5,2,25,,,,,,,,,,,55,
,OCEN,,,2,108,,13,,28,3,,12,,,,166,
,PETE,,,,224,1,48,2,157,19,,75,,,,526,
,PETL,132,12,4,256,,,,,,,,,,,404,
,RHEL,18,1,3,5,,,,,,,,,,,27,
,RHEN,,,,44,,,,,,,,,,,44,
,SENG,,,,,,6,,4,,,,,,,10,
,USEN,,,,3,,,,,,,,,,,3,
,Subtotal,"1,750",255,62,"6,091",8,609,5,"1,157",210,1,911,,,,"11,059",
G. Bush School of Govt,CAIA,,,,,34,,,21,,,,,,,55,
,CHLS,,,,,10,,,13,,,,,,,23,
,CNPM,,,,,13,,,10,,,,,,,23,
,INTA,,,,,,53,,55,,,,,,,108,
,PSAA,,,,,,45,1,53,,,,,,,99,
,Subtotal,,,,,57,98,1,152,,,,,,,308,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,
