Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,AMST,,,1,,,1,,,,,,,,1,
,ANTH,1,1,1,1,,4,,3,3,3,3,,,10,
,CLSS,,,,,,,,,,,,,,,
,COMM,8,6,8,10,,32,,1,1,3,3,,,36,
,ECON,1,1,3,5,,10,,,,,,,,10,
,ENGL,4,3,6,4,,17,,,,2,2,,,19,
,FREN,,1,,,,1,,,,,,,,1,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,1,12,7,,20,,2,2,2,2,,,24,
,INTS,2,6,4,3,,15,,,,,,,,15,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,1,2,,3,,,,,,,,3,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,,1,3,,4,,,,,,,,4,
,POLS,7,7,10,13,1,38,,4,4,1,1,,,43,
,PSYC,11,13,24,15,,63,,2,2,5,5,,,70,
,RUSS,,,,,,,,,,,,,,,
,SOCI,4,6,10,14,,34,1,10,11,14,14,,,59,
,SPAN,,,,1,,1,,,,,,,,1,
,TCMS,4,,2,2,,8,,,,,,,,8,
,THAR,,,,1,,1,,,,,,,,1,
,USLA,,,,,,,,,,,,,,,
,WGST,,1,,,,1,,,,,,,,1,
,Subtotal,42,46,83,81,1,253,1,22,23,30,30,,,306,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
