Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,,27,27,,54,,10,10,,,,,64,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,5,3,,8,,,,,,,,8,
,BUAD,126,82,26,1,,235,,7,7,,,,,242,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,15,15,,,,,15,
,FINC,,,21,32,,53,,3,3,1,1,,,57,
,INFO,,,22,33,,55,,,,,,,,55,
,MGMT,,,10,22,,32,,6,6,,,,,38,
,MISY,,,,,,,,7,7,,,,,7,
,MKTG,,,17,31,,48,,3,3,,,,,51,
,MLER,,,,,,,,2,2,,,,,2,
,USBU,,,3,8,,11,,,,,,,,11,
,Subtotal,126,82,131,157,,496,,53,53,1,1,,,550,
Education,BIED,,,,,,,,8,8,,,,,8,
,CPSY,,,,,,,,3,3,10,10,,,13,
,EDAD,,,,,,,,6,6,45,45,,,51,
,EDCI,,,,,,,5,19,24,16,16,,,40,
,EDHL,13,27,23,10,,73,,,,,,,,73,
,EDIS,33,27,19,4,,83,,,,,,,,83,
,EDKI,21,28,30,16,,95,,,,,,,,95,
,EDSM,5,6,6,4,,21,,,,,,,,21,
,EDTC,,,,,,,,4,4,,,,,4,
,EHRD,,,,,,,2,8,10,14,14,,,24,
,EPSY,,,,,,,1,11,12,17,17,,,29,
,HEED,,,,,,,,3,3,1,1,,,4,
,HLTH,,,1,33,,34,,,,,,,,34,
,HRDL,2,,10,9,,21,,,,,,,,21,
,HRDV,,,2,13,,15,,,,,,,,15,
,INST,,2,24,69,,95,,,,,,,,95,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,26,,26,1,3,4,2,2,,,32,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,4,4,,,,,4,
,SPMT,,,5,15,,20,,2,2,,,,,22,
,SPSY,,,,,,,,1,1,8,8,,,9,
,TCMG,,,1,4,,5,,,,,,,,5,
,TCML,3,,8,5,,16,,,,,,,,16,
