Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,RHEN,,2,,4,,6,,,,,,,,6,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,92,79,117,197,1,486,,68,68,36,36,,,590,
G. Bush School of Govt,CAIA,,,,,,,,,,,,,,,
,CHLS,,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,7,7,,,,,7,
,PSAA,,,,,,,,1,1,,,,,1,
,Subtotal,,,,,,,,8,8,,,,,8,
Geosciences,ATMO,,,,,,,,1,1,,,,,1,
,ENGS,3,1,,,,4,,,,,,,,4,
,ENST,2,,,1,,3,,,,,,,,3,
,GEOG,,,,1,,1,,,,2,2,,,3,
,GEOL,,1,,,,1,,2,2,,,,,3,
,GEOP,,1,1,1,,3,,2,2,,,,,5,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,1,,,,,1,,,,,,,,1,
,OCNG,,,,,,,,2,2,1,1,,,3,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,6,3,1,3,,13,,7,7,3,3,,,23,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
